,date,value,name_B08PJKH15H
64,2021-02-19,28307.0,Health Care
65,2021-02-20,21074.0,Health Care
66,2021-02-21,20589.0,Health Care
67,2021-02-22,20589.0,Health Care
68,2021-02-23,20589.0,Health Care
69,2021-02-24,20589.0,Health Care
70,2021-02-25,17953.0,Health Care
71,2021-02-26,17953.0,Health Care
72,2021-02-27,17953.0,Health Care
73,2021-02-28,17953.0,Health Care
74,2021-03-01,17127.0,Health Care
75,2021-03-02,17127.0,Health Care
76,2021-03-03,17127.0,Health Care
77,2021-03-04,17127.0,Health Care
78,2021-03-05,17127.0,Health Care
79,2021-03-06,17127.0,Health Care
80,2021-03-07,17127.0,Health Care
81,2021-03-08,17854.0,Health Care
82,2021-03-09,17854.0,Health Care
83,2021-03-10,17854.0,Health Care
84,2021-03-11,23787.0,Health Care
85,2021-03-12,19435.0,Health Care
86,2021-03-13,19435.0,Health Care
87,2021-03-14,19435.0,Health Care
88,2021-03-15,19435.0,Health Care
89,2021-03-16,19435.0,Health Care
90,2021-03-17,21599.0,Health Care
91,2021-03-18,21599.0,Health Care
92,2021-03-19,21599.0,Health Care
93,2021-03-20,21599.0,Health Care
94,2021-03-21,21599.0,Health Care
95,2021-03-22,21599.0,Health Care
96,2021-03-23,25501.0,Health Care
97,2021-03-24,25080.0,Health Care
98,2021-03-25,25080.0,Health Care
99,2021-03-26,25080.0,Health Care
100,2021-03-27,22230.0,Health Care
101,2021-03-28,26491.0,Health Care
102,2021-03-29,26491.0,Health Care
103,2021-03-30,26491.0,Health Care
104,2021-03-31,26491.0,Health Care
105,2021-04-01,26491.0,Health Care
106,2021-04-02,26491.0,Health Care
107,2021-04-03,26491.0,Health Care
108,2021-04-04,26491.0,Health Care
109,2021-04-05,22209.0,Health Care
110,2021-04-06,22209.0,Health Care
111,2021-04-07,22209.0,Health Care
112,2021-04-08,22209.0,Health Care
113,2021-04-09,22209.0,Health Care
114,2021-04-10,22209.0,Health Care
115,2021-04-11,22209.0,Health Care
116,2021-04-12,37229.0,Health Care
117,2021-04-13,37229.0,Health Care
118,2021-04-14,37229.0,Health Care
119,2021-04-15,31000.0,Health Care
120,2021-04-16,31000.0,Health Care
121,2021-04-17,36198.0,Health Care
122,2021-04-18,36198.0,Health Care
123,2021-04-19,36198.0,Health Care
124,2021-04-20,36198.0,Health Care
125,2021-04-21,34571.0,Health Care
126,2021-04-22,34571.0,Health Care
127,2021-04-23,31601.0,Health Care
128,2021-04-24,31601.0,Health Care
129,2021-04-25,31601.0,Health Care
130,2021-04-26,31601.0,Health Care
131,2021-04-27,31601.0,Health Care
132,2021-04-28,34113.0,Health Care
133,2021-04-29,34113.0,Health Care
134,2021-04-30,34113.0,Health Care
135,2021-05-01,34113.0,Health Care
136,2021-05-02,34113.0,Health Care
137,2021-05-03,34113.0,Health Care
138,2021-05-04,34113.0,Health Care
139,2021-05-05,34113.0,Health Care
140,2021-05-06,22809.0,Health Care
141,2021-05-07,22809.0,Health Care
142,2021-05-08,22809.0,Health Care
143,2021-05-09,22809.0,Health Care
144,2021-05-10,22809.0,Health Care
145,2021-05-11,24574.0,Health Care
146,2021-05-12,24574.0,Health Care
147,2021-05-13,24574.0,Health Care
148,2021-05-14,24574.0,Health Care
149,2021-05-15,24574.0,Health Care
150,2021-05-16,24574.0,Health Care
151,2021-05-17,24574.0,Health Care
152,2021-05-18,31140.0,Health Care
153,2021-05-19,31140.0,Health Care
154,2021-05-20,22860.0,Health Care
155,2021-05-21,22874.0,Health Care
156,2021-05-22,22874.0,Health Care
157,2021-05-23,22874.0,Health Care
158,2021-05-24,22268.0,Health Care
159,2021-05-25,22268.0,Health Care
160,2021-05-26,21090.0,Health Care
161,2021-05-27,21090.0,Health Care
162,2021-05-28,21090.0,Health Care
163,2021-05-29,17298.0,Health Care
164,2021-05-30,17298.0,Health Care
165,2021-05-31,19517.0,Health Care
166,2021-06-01,20780.0,Health Care
167,2021-06-02,21677.0,Health Care
168,2021-06-03,21677.0,Health Care
169,2021-06-04,21677.0,Health Care
170,2021-06-05,21677.0,Health Care
171,2021-06-06,21677.0,Health Care
172,2021-06-07,18403.0,Health Care
173,2021-06-08,18403.0,Health Care
174,2021-06-09,24465.0,Health Care
175,2021-06-10,24465.0,Health Care
176,2021-06-11,24465.0,Health Care
177,2021-06-12,24465.0,Health Care
178,2021-06-13,24465.0,Health Care
179,2021-06-14,22015.0,Health Care
180,2021-06-15,19728.0,Health Care
181,2021-06-16,23300.0,Health Care
182,2021-06-17,22697.0,Health Care
183,2021-06-18,23756.0,Health Care
184,2021-06-19,23756.0,Health Care
185,2021-06-20,23756.0,Health Care
186,2021-06-21,23361.0,Health Care
187,2021-06-22,11648.0,Health Care
188,2021-06-23,11648.0,Health Care
189,2021-06-24,11648.0,Health Care
190,2021-06-25,11648.0,Health Care
191,2021-06-26,11842.0,Health Care
192,2021-06-27,11842.0,Health Care
193,2021-06-28,18200.0,Health Care
194,2021-06-29,18200.0,Health Care
195,2021-06-30,16509.0,Health Care
196,2021-07-01,16080.0,Health Care
197,2021-07-02,15104.0,Health Care
198,2021-07-03,15104.0,Health Care
199,2021-07-04,15104.0,Health Care
200,2021-07-05,15104.0,Health Care
201,2021-07-06,15104.0,Health Care
202,2021-07-07,15104.0,Health Care
203,2021-07-08,15104.0,Health Care
204,2021-07-09,15104.0,Health Care
205,2021-07-10,17063.0,Health Care
206,2021-07-11,16389.0,Health Care
