,date,value,name_B08L8TYTKJ
65,2020-12-22,36680.0,Health Care
66,2020-12-23,49282.0,Health Care
67,2020-12-24,49282.0,Health Care
68,2020-12-25,23057.0,Health Care
69,2020-12-26,23057.0,Health Care
70,2020-12-27,23057.0,Health Care
71,2020-12-28,18326.0,Health Care
72,2020-12-29,18326.0,Health Care
73,2020-12-30,19717.0,Health Care
74,2020-12-31,24272.0,Health Care
75,2021-01-01,24272.0,Health Care
76,2021-01-02,24272.0,Health Care
77,2021-01-03,24272.0,Health Care
78,2021-01-04,20437.0,Health Care
79,2021-01-05,35404.0,Health Care
80,2021-01-06,35404.0,Health Care
81,2021-01-07,35404.0,Health Care
82,2021-01-08,94458.0,Health Care
83,2021-01-09,94458.0,Health Care
84,2021-01-10,110611.0,Health Care
85,2021-01-11,110611.0,Health Care
86,2021-01-12,110611.0,Health Care
87,2021-01-13,145128.0,Health Care
88,2021-01-14,145128.0,Health Care
89,2021-01-15,158474.0,Health Care
90,2021-01-16,158474.0,Health Care
91,2021-01-17,158474.0,Health Care
92,2021-01-18,32551.0,Health Care
93,2021-01-19,32551.0,Health Care
94,2021-01-20,32551.0,Health Care
95,2021-01-21,22884.0,Health Care
96,2021-01-22,23051.0,Health Care
97,2021-01-23,23051.0,Health Care
98,2021-01-24,23051.0,Health Care
99,2021-01-25,23051.0,Health Care
100,2021-01-26,22050.0,Health Care
101,2021-01-27,22050.0,Health Care
102,2021-01-28,22050.0,Health Care
103,2021-01-29,19301.0,Health Care
104,2021-01-30,19301.0,Health Care
105,2021-01-31,19301.0,Health Care
106,2021-02-01,20208.0,Health Care
107,2021-02-02,20208.0,Health Care
108,2021-02-03,19274.0,Health Care
109,2021-02-04,19274.0,Health Care
110,2021-02-05,19274.0,Health Care
111,2021-02-06,18703.0,Health Care
112,2021-02-07,18703.0,Health Care
113,2021-02-08,19411.0,Health Care
114,2021-02-09,19411.0,Health Care
115,2021-02-10,19411.0,Health Care
116,2021-02-11,19411.0,Health Care
117,2021-02-12,17643.0,Health Care
118,2021-02-13,17643.0,Health Care
119,2021-02-14,17643.0,Health Care
120,2021-02-15,16475.0,Health Care
121,2021-02-16,16475.0,Health Care
122,2021-02-17,16475.0,Health Care
123,2021-02-18,17781.0,Health Care
124,2021-02-19,17781.0,Health Care
125,2021-02-20,17781.0,Health Care
126,2021-02-21,30409.0,Health Care
127,2021-02-22,30409.0,Health Care
128,2021-02-23,30409.0,Health Care
129,2021-02-24,30409.0,Health Care
130,2021-02-25,30409.0,Health Care
131,2021-02-26,44009.0,Health Care
132,2021-02-27,44009.0,Health Care
133,2021-02-28,44009.0,Health Care
134,2021-03-01,44009.0,Health Care
135,2021-03-02,35278.0,Health Care
136,2021-03-03,35278.0,Health Care
137,2021-03-04,34521.0,Health Care
138,2021-03-05,34521.0,Health Care
139,2021-03-06,34521.0,Health Care
140,2021-03-07,34521.0,Health Care
141,2021-03-08,34521.0,Health Care
142,2021-03-09,17200.0,Health Care
143,2021-03-10,17200.0,Health Care
144,2021-03-11,17200.0,Health Care
145,2021-03-12,22792.0,Health Care
146,2021-03-13,22792.0,Health Care
147,2021-03-14,22792.0,Health Care
148,2021-03-15,22792.0,Health Care
149,2021-03-16,22792.0,Health Care
150,2021-03-17,30048.0,Health Care
151,2021-03-18,27493.0,Health Care
152,2021-03-19,27493.0,Health Care
153,2021-03-20,27493.0,Health Care
154,2021-03-21,27493.0,Health Care
155,2021-03-22,28981.0,Health Care
156,2021-03-23,28981.0,Health Care
157,2021-03-24,28981.0,Health Care
158,2021-03-25,28981.0,Health Care
159,2021-03-26,29023.0,Health Care
160,2021-03-27,29023.0,Health Care
161,2021-03-28,29023.0,Health Care
162,2021-03-29,30727.0,Health Care
163,2021-03-30,30450.0,Health Care
164,2021-03-31,30450.0,Health Care
165,2021-04-01,30450.0,Health Care
166,2021-04-02,30450.0,Health Care
167,2021-04-03,30450.0,Health Care
168,2021-04-04,18459.0,Health Care
169,2021-04-05,18459.0,Health Care
170,2021-04-06,21813.0,Health Care
171,2021-04-07,21813.0,Health Care
172,2021-04-08,14719.0,Health Care
173,2021-04-09,14719.0,Health Care
174,2021-04-10,16197.0,Health Care
175,2021-04-11,16197.0,Health Care
176,2021-04-12,16197.0,Health Care
177,2021-04-13,16197.0,Health Care
178,2021-04-14,278513.0,Health Care
179,2021-04-15,275018.0,Health Care
180,2021-04-16,283167.0,Health Care
181,2021-04-17,283167.0,Health Care
182,2021-04-18,283167.0,Health Care
183,2021-04-19,18943.0,Health Care
184,2021-04-20,18943.0,Health Care
185,2021-04-21,17030.0,Health Care
186,2021-04-22,18072.0,Health Care
187,2021-04-23,17029.0,Health Care
188,2021-04-24,17029.0,Health Care
189,2021-04-25,17029.0,Health Care
190,2021-04-26,17029.0,Health Care
191,2021-04-27,19306.0,Health Care
192,2021-04-28,19306.0,Health Care
193,2021-04-29,19306.0,Health Care
194,2021-04-30,19306.0,Health Care
195,2021-05-01,19306.0,Health Care
196,2021-05-02,18662.0,Health Care
197,2021-05-03,18662.0,Health Care
198,2021-05-04,18662.0,Health Care
199,2021-05-05,16641.0,Health Care
200,2021-05-06,16641.0,Health Care
201,2021-05-07,16641.0,Health Care
202,2021-05-08,26795.0,Health Care
203,2021-05-09,26795.0,Health Care
204,2021-05-10,21152.0,Health Care
205,2021-05-11,21152.0,Health Care
206,2021-05-12,19594.0,Health Care
207,2021-05-13,19594.0,Health Care
208,2021-05-14,19594.0,Health Care
209,2021-05-15,21248.0,Health Care
210,2021-05-16,21248.0,Health Care
211,2021-05-17,21248.0,Health Care
212,2021-05-18,21248.0,Health Care
213,2021-05-19,14316.0,Health Care
214,2021-05-20,14858.0,Health Care
215,2021-05-21,15945.0,Health Care
216,2021-05-22,15945.0,Health Care
217,2021-05-23,15945.0,Health Care
218,2021-05-24,19342.0,Health Care
219,2021-05-25,19342.0,Health Care
220,2021-05-26,14979.0,Health Care
221,2021-05-27,14979.0,Health Care
222,2021-05-28,15398.0,Health Care
223,2021-05-29,15398.0,Health Care
224,2021-05-30,15398.0,Health Care
225,2021-05-31,17898.0,Health Care
226,2021-06-01,17898.0,Health Care
227,2021-06-02,17898.0,Health Care
228,2021-06-03,17898.0,Health Care
229,2021-06-04,23386.0,Health Care
230,2021-06-05,23386.0,Health Care
231,2021-06-06,23386.0,Health Care
232,2021-06-07,18805.0,Health Care
233,2021-06-08,18805.0,Health Care
234,2021-06-09,18805.0,Health Care
235,2021-06-10,18805.0,Health Care
236,2021-06-11,18805.0,Health Care
237,2021-06-12,18805.0,Health Care
238,2021-06-13,18805.0,Health Care
239,2021-06-14,18896.0,Health Care
240,2021-06-15,18896.0,Health Care
241,2021-06-16,28900.0,Health Care
242,2021-06-17,28900.0,Health Care
243,2021-06-18,25834.0,Health Care
244,2021-06-19,25834.0,Health Care
245,2021-06-20,25834.0,Health Care
246,2021-06-21,19584.0,Health Care
247,2021-06-22,25072.0,Health Care
248,2021-06-23,25072.0,Health Care
249,2021-06-24,25072.0,Health Care
250,2021-06-25,25072.0,Health Care
251,2021-06-26,25072.0,Health Care
252,2021-06-27,18395.0,Health Care
253,2021-06-28,18395.0,Health Care
254,2021-06-29,22703.0,Health Care
255,2021-06-30,22703.0,Health Care
256,2021-07-01,22703.0,Health Care
257,2021-07-02,22703.0,Health Care
258,2021-07-03,22846.0,Health Care
259,2021-07-04,22846.0,Health Care
260,2021-07-05,22846.0,Health Care
261,2021-07-06,19699.0,Health Care
262,2021-07-07,19699.0,Health Care
263,2021-07-08,19699.0,Health Care
264,2021-07-09,19699.0,Health Care
265,2021-07-10,24092.0,Health Care
