,date,value,name_B08Q8MY4D7
92,2021-03-16,10646.0,Back Braces
93,2021-03-17,8528.0,Back Braces
94,2021-03-18,8528.0,Back Braces
95,2021-03-19,8528.0,Back Braces
96,2021-03-20,8528.0,Back Braces
97,2021-03-21,8528.0,Back Braces
98,2021-03-22,8528.0,Back Braces
99,2021-03-23,8302.0,Back Braces
100,2021-03-24,8302.0,Back Braces
101,2021-03-25,7621.0,Back Braces
102,2021-03-26,7621.0,Back Braces
103,2021-03-27,7621.0,Back Braces
104,2021-03-28,9261.0,Back Braces
105,2021-03-29,9261.0,Back Braces
106,2021-03-30,9261.0,Back Braces
107,2021-03-31,9402.0,Back Braces
108,2021-04-01,9402.0,Back Braces
109,2021-04-02,9402.0,Back Braces
110,2021-04-03,9402.0,Back Braces
111,2021-04-04,10525.0,Back Braces
112,2021-04-05,11392.0,Back Braces
113,2021-04-06,11392.0,Back Braces
114,2021-04-07,11392.0,Back Braces
115,2021-04-08,8761.0,Back Braces
116,2021-04-09,8761.0,Back Braces
117,2021-04-10,8761.0,Back Braces
118,2021-04-11,8761.0,Back Braces
119,2021-04-12,11182.0,Back Braces
120,2021-04-13,11182.0,Back Braces
121,2021-04-14,11182.0,Back Braces
122,2021-04-15,10376.0,Back Braces
123,2021-04-16,10376.0,Back Braces
124,2021-04-17,10376.0,Back Braces
125,2021-04-18,10376.0,Back Braces
126,2021-04-19,10376.0,Back Braces
127,2021-04-20,10244.0,Back Braces
128,2021-04-21,11416.0,Back Braces
129,2021-04-22,11416.0,Back Braces
130,2021-04-23,10486.0,Back Braces
131,2021-04-24,10486.0,Back Braces
132,2021-04-25,10486.0,Back Braces
133,2021-04-26,11213.0,Back Braces
134,2021-04-27,11213.0,Back Braces
135,2021-04-28,11213.0,Back Braces
136,2021-04-29,11213.0,Back Braces
137,2021-04-30,11213.0,Back Braces
138,2021-05-01,10715.0,Back Braces
139,2021-05-02,10715.0,Back Braces
140,2021-05-03,10715.0,Back Braces
141,2021-05-04,10715.0,Back Braces
142,2021-05-05,10715.0,Back Braces
143,2021-05-06,10651.0,Back Braces
144,2021-05-07,10651.0,Back Braces
145,2021-05-08,10651.0,Back Braces
146,2021-05-09,10651.0,Back Braces
147,2021-05-10,10651.0,Back Braces
148,2021-05-11,12073.0,Back Braces
149,2021-05-12,12073.0,Back Braces
150,2021-05-13,12073.0,Back Braces
151,2021-05-14,12073.0,Back Braces
152,2021-05-15,8794.0,Back Braces
153,2021-05-16,11757.0,Back Braces
154,2021-05-17,11757.0,Back Braces
155,2021-05-18,11757.0,Back Braces
156,2021-05-19,11757.0,Back Braces
157,2021-05-20,12027.0,Back Braces
158,2021-05-21,13451.0,Back Braces
159,2021-05-22,13451.0,Back Braces
160,2021-05-23,13451.0,Back Braces
161,2021-05-24,15084.0,Back Braces
162,2021-05-25,14486.0,Back Braces
163,2021-05-26,14486.0,Back Braces
164,2021-05-27,14486.0,Back Braces
165,2021-05-28,13677.0,Back Braces
166,2021-05-29,13440.0,Back Braces
167,2021-05-30,14570.0,Back Braces
168,2021-05-31,15157.0,Back Braces
169,2021-06-01,13789.0,Back Braces
170,2021-06-02,13789.0,Back Braces
171,2021-06-03,14323.0,Back Braces
172,2021-06-04,14323.0,Back Braces
173,2021-06-05,14323.0,Back Braces
174,2021-06-06,12705.0,Back Braces
175,2021-06-07,12705.0,Back Braces
176,2021-06-08,12705.0,Back Braces
177,2021-06-09,12705.0,Back Braces
178,2021-06-10,12705.0,Back Braces
179,2021-06-11,11521.0,Back Braces
180,2021-06-12,11521.0,Back Braces
181,2021-06-13,11521.0,Back Braces
182,2021-06-14,14108.0,Back Braces
183,2021-06-15,14108.0,Back Braces
184,2021-06-16,13309.0,Back Braces
185,2021-06-17,13309.0,Back Braces
186,2021-06-18,13309.0,Back Braces
187,2021-06-19,13309.0,Back Braces
188,2021-06-20,11530.0,Back Braces
189,2021-06-21,14377.0,Back Braces
190,2021-06-22,15631.0,Back Braces
191,2021-06-23,13617.0,Back Braces
192,2021-06-24,13408.0,Back Braces
193,2021-06-25,13408.0,Back Braces
194,2021-06-26,13408.0,Back Braces
195,2021-06-27,13408.0,Back Braces
196,2021-06-28,13408.0,Back Braces
197,2021-06-29,13120.0,Back Braces
198,2021-06-30,12604.0,Back Braces
199,2021-07-01,12604.0,Back Braces
200,2021-07-02,12604.0,Back Braces
201,2021-07-03,14825.0,Back Braces
202,2021-07-04,14825.0,Back Braces
203,2021-07-05,14825.0,Back Braces
204,2021-07-06,14825.0,Back Braces
205,2021-07-07,12388.0,Back Braces
206,2021-07-08,12388.0,Back Braces
207,2021-07-09,12857.0,Back Braces
208,2021-07-10,12857.0,Back Braces
209,2021-07-11,13181.0,Back Braces
