,date,value,name_B08GJG873G
94,2021-01-16,20804.0,Health Care
95,2021-01-17,20804.0,Health Care
96,2021-01-18,20804.0,Health Care
97,2021-01-19,23033.0,Health Care
98,2021-01-20,18534.0,Health Care
99,2021-01-21,18534.0,Health Care
100,2021-01-22,18534.0,Health Care
101,2021-01-23,18534.0,Health Care
102,2021-01-24,18534.0,Health Care
103,2021-01-25,18534.0,Health Care
104,2021-01-26,16306.0,Health Care
105,2021-01-27,18623.0,Health Care
106,2021-01-28,18623.0,Health Care
107,2021-01-29,18623.0,Health Care
108,2021-01-30,17522.0,Health Care
109,2021-01-31,17522.0,Health Care
110,2021-02-01,17522.0,Health Care
111,2021-02-02,19316.0,Health Care
112,2021-02-03,19316.0,Health Care
113,2021-02-04,19316.0,Health Care
114,2021-02-05,19316.0,Health Care
115,2021-02-06,19316.0,Health Care
116,2021-02-07,19316.0,Health Care
117,2021-02-08,22773.0,Health Care
118,2021-02-09,22773.0,Health Care
119,2021-02-10,22773.0,Health Care
120,2021-02-11,22773.0,Health Care
121,2021-02-12,22773.0,Health Care
122,2021-02-13,20480.0,Health Care
123,2021-02-14,20480.0,Health Care
124,2021-02-15,20480.0,Health Care
125,2021-02-16,20480.0,Health Care
126,2021-02-17,20480.0,Health Care
127,2021-02-18,20480.0,Health Care
128,2021-02-19,28437.0,Health Care
129,2021-02-20,33007.0,Health Care
130,2021-02-21,33007.0,Health Care
131,2021-02-22,33007.0,Health Care
132,2021-02-23,33007.0,Health Care
133,2021-02-24,33007.0,Health Care
134,2021-02-25,33007.0,Health Care
135,2021-02-26,40232.0,Health Care
136,2021-02-27,40232.0,Health Care
137,2021-02-28,40232.0,Health Care
138,2021-03-01,32531.0,Health Care
139,2021-03-02,29856.0,Health Care
140,2021-03-03,29856.0,Health Care
141,2021-03-04,29856.0,Health Care
142,2021-03-05,30161.0,Health Care
143,2021-03-06,29031.0,Health Care
144,2021-03-07,29031.0,Health Care
145,2021-03-08,29031.0,Health Care
146,2021-03-09,29031.0,Health Care
147,2021-03-10,29031.0,Health Care
148,2021-03-11,27334.0,Health Care
149,2021-03-12,27334.0,Health Care
150,2021-03-13,27334.0,Health Care
151,2021-03-14,33119.0,Health Care
152,2021-03-15,33119.0,Health Care
153,2021-03-16,33119.0,Health Care
154,2021-03-17,33119.0,Health Care
155,2021-03-18,30155.0,Health Care
156,2021-03-19,30155.0,Health Care
157,2021-03-20,30155.0,Health Care
158,2021-03-21,24880.0,Health Care
159,2021-03-22,24880.0,Health Care
160,2021-03-23,30407.0,Health Care
161,2021-03-24,30407.0,Health Care
162,2021-03-25,30407.0,Health Care
163,2021-03-26,30407.0,Health Care
164,2021-03-27,36730.0,Health Care
165,2021-03-28,36730.0,Health Care
166,2021-03-29,40939.0,Health Care
167,2021-03-30,40939.0,Health Care
168,2021-03-31,40939.0,Health Care
169,2021-04-01,33556.0,Health Care
170,2021-04-02,33556.0,Health Care
171,2021-04-03,33556.0,Health Care
172,2021-04-04,33556.0,Health Care
173,2021-04-05,33556.0,Health Care
174,2021-04-06,37010.0,Health Care
175,2021-04-07,37010.0,Health Care
176,2021-04-08,30934.0,Health Care
177,2021-04-09,13742.0,Health Care
178,2021-04-10,13742.0,Health Care
179,2021-04-11,5520.0,Health Care
180,2021-04-12,9442.0,Health Care
181,2021-04-13,9442.0,Health Care
182,2021-04-14,9442.0,Health Care
183,2021-04-15,16934.0,Health Care
184,2021-04-16,16934.0,Health Care
185,2021-04-17,16934.0,Health Care
186,2021-04-18,7939.0,Health Care
187,2021-04-19,2178.0,Health Care
188,2021-04-20,2178.0,Health Care
189,2021-04-21,4172.0,Health Care
190,2021-04-22,4083.0,Health Care
191,2021-04-23,5228.0,Health Care
192,2021-04-24,6904.0,Health Care
193,2021-04-25,6904.0,Health Care
194,2021-04-26,6904.0,Health Care
195,2021-04-27,6139.0,Health Care
196,2021-04-28,6139.0,Health Care
197,2021-04-29,6883.0,Health Care
198,2021-04-30,6883.0,Health Care
199,2021-05-01,6883.0,Health Care
200,2021-05-02,6883.0,Health Care
201,2021-05-03,6523.0,Health Care
202,2021-05-04,6161.0,Health Care
203,2021-05-05,5808.0,Health Care
204,2021-05-06,4640.0,Health Care
205,2021-05-07,4697.0,Health Care
206,2021-05-08,4694.0,Health Care
207,2021-05-09,4992.0,Health Care
208,2021-05-10,5944.0,Health Care
209,2021-05-11,6272.0,Health Care
210,2021-05-12,6272.0,Health Care
211,2021-05-13,6272.0,Health Care
212,2021-05-14,9657.0,Health Care
213,2021-05-15,9173.0,Health Care
214,2021-05-16,9173.0,Health Care
215,2021-05-17,9173.0,Health Care
216,2021-05-18,9390.0,Health Care
217,2021-05-19,9390.0,Health Care
218,2021-05-20,10379.0,Health Care
219,2021-05-21,9358.0,Health Care
220,2021-05-22,8817.0,Health Care
221,2021-05-23,8817.0,Health Care
222,2021-05-24,10531.0,Health Care
223,2021-05-25,10531.0,Health Care
224,2021-05-26,10531.0,Health Care
225,2021-05-27,10531.0,Health Care
226,2021-05-28,10531.0,Health Care
227,2021-05-29,7510.0,Health Care
228,2021-05-30,7510.0,Health Care
229,2021-05-31,6988.0,Health Care
230,2021-06-01,7173.0,Health Care
231,2021-06-02,7810.0,Health Care
232,2021-06-03,7002.0,Health Care
233,2021-06-04,6579.0,Health Care
234,2021-06-05,7206.0,Health Care
235,2021-06-06,7667.0,Health Care
236,2021-06-07,7667.0,Health Care
237,2021-06-08,7496.0,Health Care
238,2021-06-09,7496.0,Health Care
239,2021-06-10,7496.0,Health Care
240,2021-06-11,7548.0,Health Care
241,2021-06-12,7548.0,Health Care
242,2021-06-13,7548.0,Health Care
243,2021-06-14,8364.0,Health Care
244,2021-06-15,8364.0,Health Care
245,2021-06-16,8364.0,Health Care
246,2021-06-17,5307.0,Health Care
247,2021-06-18,5307.0,Health Care
248,2021-06-19,5307.0,Health Care
249,2021-06-20,4484.0,Health Care
250,2021-06-21,5341.0,Health Care
251,2021-06-22,8173.0,Health Care
252,2021-06-23,8630.0,Health Care
253,2021-06-24,8630.0,Health Care
254,2021-06-25,8831.0,Health Care
255,2021-06-26,8831.0,Health Care
256,2021-06-27,8831.0,Health Care
257,2021-06-28,8831.0,Health Care
258,2021-06-29,13284.0,Health Care
259,2021-06-30,13284.0,Health Care
260,2021-07-01,13284.0,Health Care
261,2021-07-02,10702.0,Health Care
262,2021-07-03,10702.0,Health Care
263,2021-07-04,10702.0,Health Care
264,2021-07-05,12811.0,Health Care
265,2021-07-06,12811.0,Health Care
266,2021-07-07,12811.0,Health Care
267,2021-07-08,12811.0,Health Care
268,2021-07-09,12811.0,Health Care
269,2021-07-10,12351.0,Health Care
270,2021-07-11,13582.0,Health Care
