,date,value,name_B084XT32LS
146,2020-10-15,660.0,Aquarium Water Treatments
147,2020-10-16,723.0,Aquarium Water Treatments
148,2020-10-17,606.0,Aquarium Water Treatments
149,2020-10-18,540.0,Aquarium Water Treatments
150,2020-10-19,538.0,Aquarium Water Treatments
151,2020-10-20,538.0,Aquarium Water Treatments
152,2020-10-21,554.0,Aquarium Water Treatments
153,2020-10-22,595.0,Aquarium Water Treatments
154,2020-10-23,585.0,Aquarium Water Treatments
155,2020-10-24,585.0,Aquarium Water Treatments
156,2020-10-25,638.0,Aquarium Water Treatments
157,2020-10-26,606.0,Aquarium Water Treatments
158,2020-10-27,617.0,Aquarium Water Treatments
159,2020-10-28,675.0,Aquarium Water Treatments
160,2020-10-29,636.0,Aquarium Water Treatments
161,2020-10-30,636.0,Aquarium Water Treatments
162,2020-10-31,636.0,Aquarium Water Treatments
163,2020-11-01,601.0,Aquarium Water Treatments
164,2020-11-02,494.0,Aquarium Water Treatments
165,2020-11-03,570.0,Aquarium Water Treatments
166,2020-11-04,581.0,Aquarium Water Treatments
167,2020-11-05,542.0,Aquarium Water Treatments
168,2020-11-06,542.0,Aquarium Water Treatments
169,2020-11-07,521.0,Aquarium Water Treatments
170,2020-11-08,468.0,Aquarium Water Treatments
171,2020-11-09,468.0,Aquarium Water Treatments
172,2020-11-10,460.0,Aquarium Water Treatments
173,2020-11-11,572.0,Aquarium Water Treatments
174,2020-11-12,526.0,Aquarium Water Treatments
175,2020-11-13,542.0,Aquarium Water Treatments
176,2020-11-14,593.0,Aquarium Water Treatments
177,2020-11-15,598.0,Aquarium Water Treatments
178,2020-11-16,565.0,Aquarium Water Treatments
179,2020-11-17,546.0,Aquarium Water Treatments
180,2020-11-18,576.0,Aquarium Water Treatments
181,2020-11-19,609.0,Aquarium Water Treatments
182,2020-11-20,539.0,Aquarium Water Treatments
183,2020-11-21,539.0,Aquarium Water Treatments
184,2020-11-22,551.0,Aquarium Water Treatments
185,2020-11-23,552.0,Aquarium Water Treatments
186,2020-11-24,483.0,Aquarium Water Treatments
187,2020-11-25,505.0,Aquarium Water Treatments
188,2020-11-26,412.0,Aquarium Water Treatments
189,2020-11-27,358.0,Aquarium Water Treatments
190,2020-11-28,176.0,Aquarium Water Treatments
191,2020-11-29,178.0,Aquarium Water Treatments
192,2020-11-30,278.0,Aquarium Water Treatments
193,2020-12-01,404.0,Aquarium Water Treatments
194,2020-12-02,404.0,Aquarium Water Treatments
195,2020-12-03,404.0,Aquarium Water Treatments
196,2020-12-04,472.0,Aquarium Water Treatments
197,2020-12-05,472.0,Aquarium Water Treatments
198,2020-12-06,512.0,Aquarium Water Treatments
199,2020-12-07,552.0,Aquarium Water Treatments
200,2020-12-08,597.0,Aquarium Water Treatments
201,2020-12-09,596.0,Aquarium Water Treatments
202,2020-12-10,607.0,Aquarium Water Treatments
203,2020-12-11,666.0,Aquarium Water Treatments
204,2020-12-12,678.0,Aquarium Water Treatments
205,2020-12-13,681.0,Aquarium Water Treatments
206,2020-12-14,754.0,Aquarium Water Treatments
207,2020-12-15,758.0,Aquarium Water Treatments
208,2020-12-16,820.0,Aquarium Water Treatments
209,2020-12-17,805.0,Aquarium Water Treatments
210,2020-12-18,754.0,Aquarium Water Treatments
211,2020-12-19,754.0,Aquarium Water Treatments
212,2020-12-20,829.0,Aquarium Water Treatments
213,2020-12-21,786.0,Aquarium Water Treatments
214,2020-12-22,744.0,Aquarium Water Treatments
215,2020-12-23,690.0,Aquarium Water Treatments
216,2020-12-24,596.0,Aquarium Water Treatments
217,2020-12-25,472.0,Aquarium Water Treatments
218,2020-12-26,488.0,Aquarium Water Treatments
219,2020-12-27,489.0,Aquarium Water Treatments
220,2020-12-28,464.0,Aquarium Water Treatments
221,2020-12-29,432.0,Aquarium Water Treatments
222,2020-12-30,457.0,Aquarium Water Treatments
223,2020-12-31,463.0,Aquarium Water Treatments
224,2021-01-01,443.0,Aquarium Water Treatments
225,2021-01-02,405.0,Aquarium Water Treatments
226,2021-01-03,374.0,Aquarium Water Treatments
227,2021-01-04,364.0,Aquarium Water Treatments
228,2021-01-05,388.0,Aquarium Water Treatments
229,2021-01-06,423.0,Aquarium Water Treatments
230,2021-01-07,435.0,Aquarium Water Treatments
231,2021-01-08,424.0,Aquarium Water Treatments
232,2021-01-09,422.0,Aquarium Water Treatments
233,2021-01-10,428.0,Aquarium Water Treatments
234,2021-01-11,386.0,Aquarium Water Treatments
235,2021-01-12,435.0,Aquarium Water Treatments
236,2021-01-13,441.0,Aquarium Water Treatments
237,2021-01-14,439.0,Aquarium Water Treatments
238,2021-01-15,444.0,Aquarium Water Treatments
239,2021-01-16,444.0,Aquarium Water Treatments
240,2021-01-17,380.0,Aquarium Water Treatments
241,2021-01-18,336.0,Aquarium Water Treatments
242,2021-01-19,337.0,Aquarium Water Treatments
243,2021-01-20,349.0,Aquarium Water Treatments
244,2021-01-21,387.0,Aquarium Water Treatments
245,2021-01-22,387.0,Aquarium Water Treatments
246,2021-01-23,403.0,Aquarium Water Treatments
247,2021-01-24,410.0,Aquarium Water Treatments
248,2021-01-25,314.0,Aquarium Water Treatments
249,2021-01-26,393.0,Aquarium Water Treatments
250,2021-01-27,393.0,Aquarium Water Treatments
251,2021-01-28,480.0,Aquarium Water Treatments
252,2021-01-29,476.0,Aquarium Water Treatments
253,2021-01-30,476.0,Aquarium Water Treatments
254,2021-01-31,488.0,Aquarium Water Treatments
255,2021-02-01,411.0,Aquarium Water Treatments
256,2021-02-02,441.0,Aquarium Water Treatments
257,2021-02-03,500.0,Aquarium Water Treatments
258,2021-02-04,497.0,Aquarium Water Treatments
259,2021-02-05,497.0,Aquarium Water Treatments
260,2021-02-06,458.0,Aquarium Water Treatments
261,2021-02-07,410.0,Aquarium Water Treatments
262,2021-02-08,417.0,Aquarium Water Treatments
263,2021-02-09,417.0,Aquarium Water Treatments
264,2021-02-10,444.0,Aquarium Water Treatments
265,2021-02-11,505.0,Aquarium Water Treatments
266,2021-02-12,505.0,Aquarium Water Treatments
267,2021-02-13,497.0,Aquarium Water Treatments
268,2021-02-14,497.0,Aquarium Water Treatments
269,2021-02-15,473.0,Aquarium Water Treatments
270,2021-02-16,474.0,Aquarium Water Treatments
271,2021-02-17,535.0,Aquarium Water Treatments
272,2021-02-18,535.0,Aquarium Water Treatments
273,2021-02-19,535.0,Aquarium Water Treatments
274,2021-02-20,477.0,Aquarium Water Treatments
275,2021-02-21,477.0,Aquarium Water Treatments
276,2021-02-22,436.0,Aquarium Water Treatments
277,2021-02-23,464.0,Aquarium Water Treatments
278,2021-02-24,448.0,Aquarium Water Treatments
279,2021-02-25,448.0,Aquarium Water Treatments
280,2021-02-26,387.0,Aquarium Water Treatments
281,2021-02-27,387.0,Aquarium Water Treatments
282,2021-02-28,411.0,Aquarium Water Treatments
283,2021-03-01,411.0,Aquarium Water Treatments
284,2021-03-02,417.0,Aquarium Water Treatments
285,2021-03-03,417.0,Aquarium Water Treatments
286,2021-03-04,465.0,Aquarium Water Treatments
287,2021-03-05,449.0,Aquarium Water Treatments
288,2021-03-06,448.0,Aquarium Water Treatments
289,2021-03-07,411.0,Aquarium Water Treatments
290,2021-03-08,350.0,Aquarium Water Treatments
291,2021-03-09,447.0,Aquarium Water Treatments
292,2021-03-10,428.0,Aquarium Water Treatments
293,2021-03-11,443.0,Aquarium Water Treatments
294,2021-03-12,443.0,Aquarium Water Treatments
295,2021-03-13,446.0,Aquarium Water Treatments
296,2021-03-14,446.0,Aquarium Water Treatments
297,2021-03-15,404.0,Aquarium Water Treatments
298,2021-03-16,404.0,Aquarium Water Treatments
299,2021-03-17,405.0,Aquarium Water Treatments
300,2021-03-18,398.0,Aquarium Water Treatments
301,2021-03-19,398.0,Aquarium Water Treatments
302,2021-03-20,452.0,Aquarium Water Treatments
303,2021-03-21,464.0,Aquarium Water Treatments
304,2021-03-22,464.0,Aquarium Water Treatments
305,2021-03-23,616.0,Aquarium Water Treatments
306,2021-03-24,616.0,Aquarium Water Treatments
307,2021-03-25,616.0,Aquarium Water Treatments
308,2021-03-26,845.0,Aquarium Water Treatments
309,2021-03-27,845.0,Aquarium Water Treatments
310,2021-03-28,998.0,Aquarium Water Treatments
311,2021-03-29,916.0,Aquarium Water Treatments
312,2021-03-30,916.0,Aquarium Water Treatments
313,2021-03-31,916.0,Aquarium Water Treatments
314,2021-04-01,551.0,Aquarium Water Treatments
315,2021-04-02,536.0,Aquarium Water Treatments
316,2021-04-03,524.0,Aquarium Water Treatments
317,2021-04-04,524.0,Aquarium Water Treatments
318,2021-04-05,446.0,Aquarium Water Treatments
319,2021-04-06,448.0,Aquarium Water Treatments
320,2021-04-07,441.0,Aquarium Water Treatments
321,2021-04-08,482.0,Aquarium Water Treatments
322,2021-04-09,459.0,Aquarium Water Treatments
323,2021-04-10,429.0,Aquarium Water Treatments
324,2021-04-11,448.0,Aquarium Water Treatments
325,2021-04-12,448.0,Aquarium Water Treatments
326,2021-04-13,425.0,Aquarium Water Treatments
327,2021-04-14,485.0,Aquarium Water Treatments
328,2021-04-15,485.0,Aquarium Water Treatments
329,2021-04-16,509.0,Aquarium Water Treatments
330,2021-04-17,545.0,Aquarium Water Treatments
331,2021-04-18,545.0,Aquarium Water Treatments
332,2021-04-19,456.0,Aquarium Water Treatments
333,2021-04-20,456.0,Aquarium Water Treatments
334,2021-04-21,440.0,Aquarium Water Treatments
335,2021-04-22,440.0,Aquarium Water Treatments
336,2021-04-23,474.0,Aquarium Water Treatments
337,2021-04-24,474.0,Aquarium Water Treatments
338,2021-04-25,490.0,Aquarium Water Treatments
339,2021-04-26,502.0,Aquarium Water Treatments
340,2021-04-27,434.0,Aquarium Water Treatments
341,2021-04-28,441.0,Aquarium Water Treatments
342,2021-04-29,496.0,Aquarium Water Treatments
343,2021-04-30,495.0,Aquarium Water Treatments
344,2021-05-01,495.0,Aquarium Water Treatments
345,2021-05-02,459.0,Aquarium Water Treatments
346,2021-05-03,459.0,Aquarium Water Treatments
347,2021-05-04,498.0,Aquarium Water Treatments
348,2021-05-05,498.0,Aquarium Water Treatments
349,2021-05-06,454.0,Aquarium Water Treatments
350,2021-05-07,436.0,Aquarium Water Treatments
351,2021-05-08,440.0,Aquarium Water Treatments
352,2021-05-09,503.0,Aquarium Water Treatments
353,2021-05-10,506.0,Aquarium Water Treatments
354,2021-05-11,478.0,Aquarium Water Treatments
355,2021-05-12,478.0,Aquarium Water Treatments
356,2021-05-13,525.0,Aquarium Water Treatments
357,2021-05-14,506.0,Aquarium Water Treatments
358,2021-05-15,514.0,Aquarium Water Treatments
359,2021-05-16,495.0,Aquarium Water Treatments
360,2021-05-17,448.0,Aquarium Water Treatments
361,2021-05-18,524.0,Aquarium Water Treatments
362,2021-05-19,524.0,Aquarium Water Treatments
363,2021-05-20,485.0,Aquarium Water Treatments
364,2021-05-21,485.0,Aquarium Water Treatments
365,2021-05-22,509.0,Aquarium Water Treatments
366,2021-05-23,515.0,Aquarium Water Treatments
367,2021-05-24,454.0,Aquarium Water Treatments
368,2021-05-25,455.0,Aquarium Water Treatments
369,2021-05-26,509.0,Aquarium Water Treatments
370,2021-05-27,509.0,Aquarium Water Treatments
371,2021-05-28,499.0,Aquarium Water Treatments
372,2021-05-29,499.0,Aquarium Water Treatments
373,2021-05-30,523.0,Aquarium Water Treatments
374,2021-05-31,523.0,Aquarium Water Treatments
375,2021-06-01,443.0,Aquarium Water Treatments
376,2021-06-02,464.0,Aquarium Water Treatments
377,2021-06-03,464.0,Aquarium Water Treatments
378,2021-06-04,454.0,Aquarium Water Treatments
379,2021-06-05,454.0,Aquarium Water Treatments
380,2021-06-06,454.0,Aquarium Water Treatments
381,2021-06-07,462.0,Aquarium Water Treatments
382,2021-06-08,478.0,Aquarium Water Treatments
383,2021-06-09,515.0,Aquarium Water Treatments
384,2021-06-10,510.0,Aquarium Water Treatments
385,2021-06-11,510.0,Aquarium Water Treatments
386,2021-06-12,510.0,Aquarium Water Treatments
387,2021-06-13,459.0,Aquarium Water Treatments
388,2021-06-14,482.0,Aquarium Water Treatments
389,2021-06-15,482.0,Aquarium Water Treatments
390,2021-06-16,509.0,Aquarium Water Treatments
391,2021-06-17,509.0,Aquarium Water Treatments
392,2021-06-18,534.0,Aquarium Water Treatments
393,2021-06-19,480.0,Aquarium Water Treatments
394,2021-06-20,424.0,Aquarium Water Treatments
395,2021-06-21,351.0,Aquarium Water Treatments
396,2021-06-22,587.0,Aquarium Water Treatments
397,2021-06-23,565.0,Aquarium Water Treatments
398,2021-06-24,505.0,Aquarium Water Treatments
399,2021-06-25,502.0,Aquarium Water Treatments
400,2021-06-26,464.0,Aquarium Water Treatments
401,2021-06-27,437.0,Aquarium Water Treatments
402,2021-06-28,446.0,Aquarium Water Treatments
403,2021-06-29,461.0,Aquarium Water Treatments
404,2021-06-30,505.0,Aquarium Water Treatments
405,2021-07-01,488.0,Aquarium Water Treatments
406,2021-07-02,464.0,Aquarium Water Treatments
407,2021-07-03,497.0,Aquarium Water Treatments
408,2021-07-04,452.0,Aquarium Water Treatments
409,2021-07-05,471.0,Aquarium Water Treatments
410,2021-07-06,469.0,Aquarium Water Treatments
411,2021-07-07,490.0,Aquarium Water Treatments
412,2021-07-08,490.0,Aquarium Water Treatments
413,2021-07-09,496.0,Aquarium Water Treatments
414,2021-07-10,467.0,Aquarium Water Treatments
