,date,value,name_B08K9DFVCR
102,2021-01-15,1987.0,Chimes
103,2021-01-16,1800.0,Chimes
104,2021-01-17,2157.0,Chimes
105,2021-01-18,2157.0,Chimes
106,2021-01-19,2023.0,Chimes
107,2021-01-20,2023.0,Chimes
108,2021-01-21,1975.0,Chimes
109,2021-01-22,1975.0,Chimes
110,2021-01-23,1975.0,Chimes
111,2021-01-24,2254.0,Chimes
112,2021-01-25,2419.0,Chimes
113,2021-01-26,2402.0,Chimes
114,2021-01-27,2087.0,Chimes
115,2021-01-28,2087.0,Chimes
116,2021-01-29,1929.0,Chimes
117,2021-01-30,1929.0,Chimes
118,2021-01-31,1929.0,Chimes
119,2021-02-01,4448.0,Chimes
120,2021-02-02,3010.0,Chimes
121,2021-02-03,2953.0,Chimes
122,2021-02-04,2433.0,Chimes
123,2021-02-05,1981.0,Chimes
124,2021-02-06,2022.0,Chimes
125,2021-02-07,2022.0,Chimes
126,2021-02-08,3098.0,Chimes
127,2021-02-09,3098.0,Chimes
128,2021-02-10,3098.0,Chimes
129,2021-02-11,1910.0,Chimes
130,2021-02-12,1910.0,Chimes
131,2021-02-13,2511.0,Chimes
132,2021-02-14,2511.0,Chimes
133,2021-02-15,2511.0,Chimes
134,2021-02-16,2799.0,Chimes
135,2021-02-17,2799.0,Chimes
136,2021-02-18,2799.0,Chimes
137,2021-02-19,2882.0,Chimes
138,2021-02-20,2882.0,Chimes
139,2021-02-21,2882.0,Chimes
140,2021-02-22,14179.0,Chimes
141,2021-02-23,14179.0,Chimes
142,2021-02-24,14179.0,Chimes
143,2021-02-25,14179.0,Chimes
144,2021-02-26,7631.0,Chimes
145,2021-02-27,7631.0,Chimes
146,2021-02-28,7631.0,Chimes
147,2021-03-01,7631.0,Chimes
148,2021-03-02,8497.0,Chimes
149,2021-03-03,8497.0,Chimes
150,2021-03-04,9937.0,Chimes
151,2021-03-05,9937.0,Chimes
152,2021-03-06,9937.0,Chimes
153,2021-03-07,15778.0,Chimes
154,2021-03-08,17255.0,Chimes
155,2021-03-09,18814.0,Chimes
156,2021-03-10,20082.0,Chimes
157,2021-03-11,21803.0,Chimes
158,2021-03-12,21292.0,Chimes
159,2021-03-13,21292.0,Chimes
160,2021-03-14,31006.0,Chimes
161,2021-03-15,31006.0,Chimes
162,2021-03-16,41879.0,Chimes
163,2021-03-17,33667.0,Chimes
164,2021-03-18,33667.0,Chimes
165,2021-03-19,31470.0,Chimes
166,2021-03-20,31470.0,Chimes
167,2021-03-21,43628.0,Chimes
168,2021-03-22,30495.0,Chimes
169,2021-03-23,30495.0,Chimes
170,2021-03-24,17583.0,Chimes
171,2021-03-25,11503.0,Chimes
172,2021-03-26,11503.0,Chimes
173,2021-03-27,11503.0,Chimes
174,2021-03-28,11503.0,Chimes
175,2021-03-29,11503.0,Chimes
176,2021-03-30,8977.0,Chimes
177,2021-03-31,7577.0,Chimes
178,2021-04-01,8463.0,Chimes
179,2021-04-02,8463.0,Chimes
180,2021-04-03,8463.0,Chimes
181,2021-04-04,14389.0,Chimes
182,2021-04-05,11822.0,Chimes
183,2021-04-06,12158.0,Chimes
184,2021-04-07,6319.0,Chimes
185,2021-04-08,6870.0,Chimes
186,2021-04-09,6870.0,Chimes
187,2021-04-10,6870.0,Chimes
188,2021-04-11,7149.0,Chimes
189,2021-04-12,7149.0,Chimes
190,2021-04-13,7149.0,Chimes
191,2021-04-14,6137.0,Chimes
192,2021-04-15,6137.0,Chimes
193,2021-04-16,6137.0,Chimes
194,2021-04-17,6137.0,Chimes
195,2021-04-18,6137.0,Chimes
196,2021-04-19,8032.0,Chimes
197,2021-04-20,8032.0,Chimes
198,2021-04-21,5233.0,Chimes
199,2021-04-22,5233.0,Chimes
200,2021-04-23,2931.0,Chimes
201,2021-04-24,2931.0,Chimes
202,2021-04-25,2931.0,Chimes
203,2021-04-26,5940.0,Chimes
204,2021-04-27,5940.0,Chimes
205,2021-04-28,5940.0,Chimes
206,2021-04-29,5018.0,Chimes
207,2021-04-30,5018.0,Chimes
208,2021-05-01,4672.0,Chimes
209,2021-05-02,4672.0,Chimes
210,2021-05-03,4672.0,Chimes
211,2021-05-04,3648.0,Chimes
212,2021-05-05,3648.0,Chimes
213,2021-05-06,2791.0,Chimes
214,2021-05-07,2791.0,Chimes
215,2021-05-08,1807.0,Chimes
216,2021-05-09,1807.0,Chimes
217,2021-05-10,1807.0,Chimes
218,2021-05-11,2550.0,Chimes
219,2021-05-12,2550.0,Chimes
220,2021-05-13,4534.0,Chimes
221,2021-05-14,4534.0,Chimes
222,2021-05-15,4534.0,Chimes
223,2021-05-16,8159.0,Chimes
224,2021-05-17,8159.0,Chimes
225,2021-05-18,8323.0,Chimes
226,2021-05-19,6184.0,Chimes
227,2021-05-20,4761.0,Chimes
228,2021-05-21,4761.0,Chimes
229,2021-05-22,6279.0,Chimes
230,2021-05-23,7024.0,Chimes
231,2021-05-24,7163.0,Chimes
232,2021-05-25,7163.0,Chimes
233,2021-05-26,7163.0,Chimes
234,2021-05-27,5762.0,Chimes
235,2021-05-28,5762.0,Chimes
236,2021-05-29,6245.0,Chimes
237,2021-05-30,6245.0,Chimes
238,2021-05-31,14500.0,Chimes
239,2021-06-01,14500.0,Chimes
240,2021-06-02,14500.0,Chimes
241,2021-06-03,14500.0,Chimes
242,2021-06-04,7938.0,Chimes
243,2021-06-05,7938.0,Chimes
244,2021-06-06,9327.0,Chimes
245,2021-06-07,9327.0,Chimes
246,2021-06-08,9327.0,Chimes
247,2021-06-09,9332.0,Chimes
248,2021-06-10,9101.0,Chimes
249,2021-06-11,9101.0,Chimes
250,2021-06-12,9101.0,Chimes
251,2021-06-13,9101.0,Chimes
252,2021-06-14,9893.0,Chimes
253,2021-06-15,9893.0,Chimes
254,2021-06-16,7856.0,Chimes
255,2021-06-17,6704.0,Chimes
256,2021-06-18,8314.0,Chimes
257,2021-06-19,8314.0,Chimes
258,2021-06-20,8555.0,Chimes
259,2021-06-21,8555.0,Chimes
260,2021-06-22,8555.0,Chimes
261,2021-06-23,4299.0,Chimes
262,2021-06-24,4299.0,Chimes
263,2021-06-25,7190.0,Chimes
264,2021-06-26,7190.0,Chimes
265,2021-06-27,7190.0,Chimes
266,2021-06-28,7190.0,Chimes
267,2021-06-29,10453.0,Chimes
268,2021-06-30,10574.0,Chimes
269,2021-07-01,10574.0,Chimes
270,2021-07-02,7749.0,Chimes
271,2021-07-03,7749.0,Chimes
272,2021-07-04,7749.0,Chimes
273,2021-07-05,8923.0,Chimes
274,2021-07-06,8923.0,Chimes
275,2021-07-07,8923.0,Chimes
276,2021-07-08,10030.0,Chimes
277,2021-07-09,10030.0,Chimes
278,2021-07-10,10030.0,Chimes
279,2021-07-11,8279.0,Chimes
