,date,value,name_B07MYWXQ98
322,2021-04-13,13332.0,Health Care
323,2021-04-14,9716.0,Health Care
324,2021-04-15,10362.0,Health Care
325,2021-04-16,10137.0,Health Care
326,2021-04-17,10521.0,Health Care
327,2021-04-18,10521.0,Health Care
328,2021-04-19,8768.0,Health Care
329,2021-04-20,14146.0,Health Care
330,2021-04-21,13686.0,Health Care
331,2021-04-22,13490.0,Health Care
332,2021-04-23,13618.0,Health Care
333,2021-04-24,14602.0,Health Care
334,2021-04-25,14340.0,Health Care
335,2021-04-26,11110.0,Health Care
336,2021-04-27,12094.0,Health Care
337,2021-04-28,12410.0,Health Care
338,2021-04-29,9575.0,Health Care
339,2021-04-30,10354.0,Health Care
340,2021-05-01,8107.0,Health Care
341,2021-05-02,8347.0,Health Care
342,2021-05-03,6657.0,Health Care
343,2021-05-04,4390.0,Health Care
344,2021-05-05,1542.0,Health Care
345,2021-05-06,908.0,Health Care
346,2021-05-07,758.0,Health Care
347,2021-05-08,457.0,Health Care
348,2021-05-09,703.0,Health Care
349,2021-05-10,703.0,Health Care
350,2021-05-11,2011.0,Health Care
351,2021-05-12,3896.0,Health Care
352,2021-05-13,5653.0,Health Care
353,2021-05-14,5653.0,Health Care
354,2021-05-15,7268.0,Health Care
355,2021-05-16,10560.0,Health Care
356,2021-05-17,11279.0,Health Care
357,2021-05-18,11279.0,Health Care
358,2021-05-19,3493.0,Health Care
359,2021-05-20,2929.0,Health Care
360,2021-05-21,2067.0,Health Care
361,2021-05-22,1346.0,Health Care
362,2021-05-23,1427.0,Health Care
363,2021-05-24,1413.0,Health Care
364,2021-05-25,2486.0,Health Care
365,2021-05-26,3616.0,Health Care
366,2021-05-27,4261.0,Health Care
367,2021-05-28,4234.0,Health Care
368,2021-05-29,4240.0,Health Care
369,2021-05-30,3941.0,Health Care
370,2021-05-31,4696.0,Health Care
371,2021-06-01,5251.0,Health Care
372,2021-06-02,5402.0,Health Care
373,2021-06-03,4887.0,Health Care
374,2021-06-04,3932.0,Health Care
375,2021-06-05,3915.0,Health Care
376,2021-06-06,3759.0,Health Care
377,2021-06-07,3110.0,Health Care
378,2021-06-08,2694.0,Health Care
379,2021-06-09,2646.0,Health Care
380,2021-06-10,2677.0,Health Care
381,2021-06-11,2531.0,Health Care
382,2021-06-12,2667.0,Health Care
383,2021-06-13,2936.0,Health Care
384,2021-06-14,2356.0,Health Care
385,2021-06-15,1826.0,Health Care
386,2021-06-16,1245.0,Health Care
387,2021-06-17,1049.0,Health Care
388,2021-06-18,954.0,Health Care
389,2021-06-19,896.0,Health Care
390,2021-06-20,1514.0,Health Care
391,2021-06-21,2350.0,Health Care
392,2021-06-22,6013.0,Health Care
393,2021-06-23,6887.0,Health Care
394,2021-06-24,8421.0,Health Care
395,2021-06-25,10763.0,Health Care
396,2021-06-26,13146.0,Health Care
397,2021-06-27,15291.0,Health Care
398,2021-06-28,16626.0,Health Care
399,2021-06-29,17115.0,Health Care
400,2021-06-30,17115.0,Health Care
401,2021-07-01,17115.0,Health Care
402,2021-07-02,20438.0,Health Care
403,2021-07-03,19151.0,Health Care
404,2021-07-04,19023.0,Health Care
405,2021-07-05,20942.0,Health Care
406,2021-07-06,26331.0,Health Care
407,2021-07-07,16758.0,Health Care
408,2021-07-08,15235.0,Health Care
409,2021-07-09,16797.0,Health Care
410,2021-07-10,19365.0,Health Care
411,2021-07-11,20061.0,Health Care
