,date,value,name_B08H7DJWPK
50,2020-12-25,3401.0,Alternative Pain Relief
51,2020-12-26,3401.0,Alternative Pain Relief
52,2020-12-27,4796.0,Alternative Pain Relief
53,2020-12-28,4796.0,Alternative Pain Relief
54,2020-12-29,5328.0,Alternative Pain Relief
55,2020-12-30,5328.0,Alternative Pain Relief
56,2020-12-31,4560.0,Alternative Pain Relief
57,2021-01-01,3594.0,Alternative Pain Relief
58,2021-01-02,4781.0,Alternative Pain Relief
59,2021-01-03,5199.0,Alternative Pain Relief
60,2021-01-04,5534.0,Alternative Pain Relief
61,2021-01-05,5274.0,Alternative Pain Relief
62,2021-01-06,5461.0,Alternative Pain Relief
63,2021-01-07,5177.0,Alternative Pain Relief
64,2021-01-08,5625.0,Alternative Pain Relief
65,2021-01-09,5758.0,Alternative Pain Relief
66,2021-01-10,5723.0,Alternative Pain Relief
67,2021-01-11,6263.0,Alternative Pain Relief
68,2021-01-12,5960.0,Alternative Pain Relief
69,2021-01-13,5926.0,Alternative Pain Relief
70,2021-01-14,6371.0,Alternative Pain Relief
71,2021-01-15,7253.0,Alternative Pain Relief
72,2021-01-16,7895.0,Alternative Pain Relief
73,2021-01-17,7895.0,Alternative Pain Relief
74,2021-01-18,8399.0,Alternative Pain Relief
75,2021-01-19,6397.0,Alternative Pain Relief
76,2021-01-20,6155.0,Alternative Pain Relief
77,2021-01-21,5889.0,Alternative Pain Relief
78,2021-01-22,5801.0,Alternative Pain Relief
79,2021-01-23,5917.0,Alternative Pain Relief
80,2021-01-24,5917.0,Alternative Pain Relief
81,2021-01-25,5798.0,Alternative Pain Relief
82,2021-01-26,6432.0,Alternative Pain Relief
83,2021-01-27,6908.0,Alternative Pain Relief
84,2021-01-28,6953.0,Alternative Pain Relief
85,2021-01-29,5994.0,Alternative Pain Relief
86,2021-01-30,5633.0,Alternative Pain Relief
87,2021-01-31,6051.0,Alternative Pain Relief
88,2021-02-01,5839.0,Alternative Pain Relief
89,2021-02-02,6548.0,Alternative Pain Relief
90,2021-02-03,6758.0,Alternative Pain Relief
91,2021-02-04,6994.0,Alternative Pain Relief
92,2021-02-05,6012.0,Alternative Pain Relief
93,2021-02-06,7210.0,Alternative Pain Relief
94,2021-02-07,7210.0,Alternative Pain Relief
95,2021-02-08,7127.0,Alternative Pain Relief
96,2021-02-09,7156.0,Alternative Pain Relief
97,2021-02-10,7342.0,Alternative Pain Relief
98,2021-02-11,7902.0,Alternative Pain Relief
99,2021-02-12,6947.0,Alternative Pain Relief
100,2021-02-13,6527.0,Alternative Pain Relief
101,2021-02-14,6810.0,Alternative Pain Relief
102,2021-02-15,7580.0,Alternative Pain Relief
103,2021-02-16,7968.0,Alternative Pain Relief
104,2021-02-17,8142.0,Alternative Pain Relief
105,2021-02-18,8097.0,Alternative Pain Relief
106,2021-02-19,8019.0,Alternative Pain Relief
107,2021-02-20,7430.0,Alternative Pain Relief
108,2021-02-21,7403.0,Alternative Pain Relief
109,2021-02-22,7508.0,Alternative Pain Relief
110,2021-02-23,7508.0,Alternative Pain Relief
111,2021-02-24,7723.0,Alternative Pain Relief
112,2021-02-25,9673.0,Alternative Pain Relief
113,2021-02-26,9890.0,Alternative Pain Relief
114,2021-02-27,9122.0,Alternative Pain Relief
115,2021-02-28,11050.0,Alternative Pain Relief
116,2021-03-01,9709.0,Alternative Pain Relief
117,2021-03-02,10116.0,Alternative Pain Relief
118,2021-03-03,12168.0,Alternative Pain Relief
119,2021-03-04,11500.0,Alternative Pain Relief
120,2021-03-05,9418.0,Alternative Pain Relief
121,2021-03-06,10748.0,Alternative Pain Relief
122,2021-03-07,9570.0,Alternative Pain Relief
123,2021-03-08,10436.0,Alternative Pain Relief
124,2021-03-09,10189.0,Alternative Pain Relief
125,2021-03-10,9557.0,Alternative Pain Relief
126,2021-03-11,9562.0,Alternative Pain Relief
127,2021-03-12,11032.0,Alternative Pain Relief
128,2021-03-13,9789.0,Alternative Pain Relief
129,2021-03-14,9789.0,Alternative Pain Relief
130,2021-03-15,10221.0,Alternative Pain Relief
131,2021-03-16,10778.0,Alternative Pain Relief
132,2021-03-17,12361.0,Alternative Pain Relief
133,2021-03-18,13167.0,Alternative Pain Relief
134,2021-03-19,12693.0,Alternative Pain Relief
135,2021-03-20,14817.0,Alternative Pain Relief
136,2021-03-21,14817.0,Alternative Pain Relief
137,2021-03-22,13392.0,Alternative Pain Relief
138,2021-03-23,9782.0,Alternative Pain Relief
139,2021-03-24,11868.0,Alternative Pain Relief
140,2021-03-25,11432.0,Alternative Pain Relief
141,2021-03-26,10649.0,Alternative Pain Relief
142,2021-03-27,11672.0,Alternative Pain Relief
143,2021-03-28,11672.0,Alternative Pain Relief
144,2021-03-29,10687.0,Alternative Pain Relief
145,2021-03-30,11596.0,Alternative Pain Relief
146,2021-03-31,11723.0,Alternative Pain Relief
147,2021-04-01,9592.0,Alternative Pain Relief
148,2021-04-02,9814.0,Alternative Pain Relief
149,2021-04-03,9031.0,Alternative Pain Relief
150,2021-04-04,9031.0,Alternative Pain Relief
151,2021-04-05,13128.0,Alternative Pain Relief
152,2021-04-06,9693.0,Alternative Pain Relief
153,2021-04-07,9763.0,Alternative Pain Relief
154,2021-04-08,11179.0,Alternative Pain Relief
155,2021-04-09,9011.0,Alternative Pain Relief
156,2021-04-10,8785.0,Alternative Pain Relief
157,2021-04-11,8785.0,Alternative Pain Relief
158,2021-04-12,9322.0,Alternative Pain Relief
159,2021-04-13,10023.0,Alternative Pain Relief
160,2021-04-14,9884.0,Alternative Pain Relief
161,2021-04-15,8855.0,Alternative Pain Relief
162,2021-04-16,8955.0,Alternative Pain Relief
163,2021-04-17,10763.0,Alternative Pain Relief
164,2021-04-18,10763.0,Alternative Pain Relief
165,2021-04-19,11297.0,Alternative Pain Relief
166,2021-04-20,11858.0,Alternative Pain Relief
167,2021-04-21,13030.0,Alternative Pain Relief
168,2021-04-22,10545.0,Alternative Pain Relief
169,2021-04-23,9445.0,Alternative Pain Relief
170,2021-04-24,10276.0,Alternative Pain Relief
171,2021-04-25,8345.0,Alternative Pain Relief
172,2021-04-26,9485.0,Alternative Pain Relief
173,2021-04-27,8942.0,Alternative Pain Relief
174,2021-04-28,9380.0,Alternative Pain Relief
175,2021-04-29,9648.0,Alternative Pain Relief
176,2021-04-30,11466.0,Alternative Pain Relief
177,2021-05-01,9959.0,Alternative Pain Relief
178,2021-05-02,8505.0,Alternative Pain Relief
179,2021-05-03,9867.0,Alternative Pain Relief
180,2021-05-04,7601.0,Alternative Pain Relief
181,2021-05-05,5840.0,Alternative Pain Relief
182,2021-05-06,4798.0,Alternative Pain Relief
183,2021-05-07,5013.0,Alternative Pain Relief
184,2021-05-08,5494.0,Alternative Pain Relief
185,2021-05-09,5924.0,Alternative Pain Relief
186,2021-05-10,6056.0,Alternative Pain Relief
187,2021-05-11,8801.0,Alternative Pain Relief
188,2021-05-12,10160.0,Alternative Pain Relief
189,2021-05-13,10094.0,Alternative Pain Relief
190,2021-05-14,10099.0,Alternative Pain Relief
191,2021-05-15,11586.0,Alternative Pain Relief
192,2021-05-16,11168.0,Alternative Pain Relief
193,2021-05-17,9557.0,Alternative Pain Relief
194,2021-05-18,9557.0,Alternative Pain Relief
195,2021-05-19,10567.0,Alternative Pain Relief
196,2021-05-20,12672.0,Alternative Pain Relief
197,2021-05-21,10075.0,Alternative Pain Relief
198,2021-05-22,11587.0,Alternative Pain Relief
199,2021-05-23,12607.0,Alternative Pain Relief
200,2021-05-24,11926.0,Alternative Pain Relief
201,2021-05-25,13213.0,Alternative Pain Relief
202,2021-05-26,12909.0,Alternative Pain Relief
203,2021-05-27,11663.0,Alternative Pain Relief
204,2021-05-28,12707.0,Alternative Pain Relief
205,2021-05-29,12766.0,Alternative Pain Relief
206,2021-05-30,11580.0,Alternative Pain Relief
207,2021-05-31,11287.0,Alternative Pain Relief
208,2021-06-01,10339.0,Alternative Pain Relief
209,2021-06-02,13448.0,Alternative Pain Relief
210,2021-06-03,14406.0,Alternative Pain Relief
211,2021-06-04,13597.0,Alternative Pain Relief
212,2021-06-05,12122.0,Alternative Pain Relief
213,2021-06-06,11337.0,Alternative Pain Relief
214,2021-06-07,11337.0,Alternative Pain Relief
215,2021-06-08,13568.0,Alternative Pain Relief
216,2021-06-09,14421.0,Alternative Pain Relief
217,2021-06-10,13695.0,Alternative Pain Relief
218,2021-06-11,16861.0,Alternative Pain Relief
219,2021-06-12,14236.0,Alternative Pain Relief
220,2021-06-13,12979.0,Alternative Pain Relief
221,2021-06-14,15923.0,Alternative Pain Relief
222,2021-06-15,18761.0,Alternative Pain Relief
223,2021-06-16,16098.0,Alternative Pain Relief
224,2021-06-17,16098.0,Alternative Pain Relief
225,2021-06-18,18566.0,Alternative Pain Relief
226,2021-06-19,19007.0,Alternative Pain Relief
227,2021-06-20,13590.0,Alternative Pain Relief
228,2021-06-21,18289.0,Alternative Pain Relief
229,2021-06-22,9042.0,Alternative Pain Relief
230,2021-06-23,9042.0,Alternative Pain Relief
231,2021-06-24,11771.0,Alternative Pain Relief
232,2021-06-25,11930.0,Alternative Pain Relief
233,2021-06-26,12679.0,Alternative Pain Relief
234,2021-06-27,15530.0,Alternative Pain Relief
235,2021-06-28,16970.0,Alternative Pain Relief
236,2021-06-29,19362.0,Alternative Pain Relief
237,2021-06-30,20401.0,Alternative Pain Relief
238,2021-07-01,20401.0,Alternative Pain Relief
239,2021-07-02,19668.0,Alternative Pain Relief
240,2021-07-03,15272.0,Alternative Pain Relief
241,2021-07-04,18456.0,Alternative Pain Relief
242,2021-07-05,21261.0,Alternative Pain Relief
243,2021-07-06,23182.0,Alternative Pain Relief
244,2021-07-07,21285.0,Alternative Pain Relief
245,2021-07-08,20931.0,Alternative Pain Relief
246,2021-07-09,17810.0,Alternative Pain Relief
247,2021-07-10,18076.0,Alternative Pain Relief
