,date,value,name_B08JJ44JR8
64,2021-02-02,293857.0,Acupuncture
65,2021-02-03,293857.0,Acupuncture
66,2021-02-04,293857.0,Acupuncture
67,2021-02-05,293857.0,Acupuncture
68,2021-02-06,293857.0,Acupuncture
69,2021-02-07,293857.0,Acupuncture
70,2021-02-08,293857.0,Acupuncture
71,2021-02-09,293857.0,Acupuncture
72,2021-02-10,293857.0,Acupuncture
73,2021-02-11,293857.0,Acupuncture
74,2021-02-12,293857.0,Acupuncture
75,2021-02-13,293857.0,Acupuncture
76,2021-02-14,92751.0,Acupuncture
77,2021-02-15,92751.0,Acupuncture
78,2021-02-16,92751.0,Acupuncture
79,2021-02-17,92751.0,Acupuncture
80,2021-02-18,92751.0,Acupuncture
81,2021-02-19,92751.0,Acupuncture
82,2021-02-20,92751.0,Acupuncture
83,2021-02-21,70151.0,Acupuncture
84,2021-02-22,70151.0,Acupuncture
85,2021-02-23,70151.0,Acupuncture
86,2021-02-24,70151.0,Acupuncture
87,2021-02-25,70151.0,Acupuncture
88,2021-02-26,27851.0,Acupuncture
89,2021-02-27,27851.0,Acupuncture
90,2021-02-28,27851.0,Acupuncture
91,2021-03-01,27851.0,Acupuncture
92,2021-03-02,27851.0,Acupuncture
93,2021-03-03,50505.0,Acupuncture
94,2021-03-04,50505.0,Acupuncture
95,2021-03-05,50505.0,Acupuncture
96,2021-03-06,50505.0,Acupuncture
97,2021-03-07,50505.0,Acupuncture
98,2021-03-08,99810.0,Acupuncture
99,2021-03-09,99810.0,Acupuncture
100,2021-03-10,99810.0,Acupuncture
101,2021-03-11,99810.0,Acupuncture
102,2021-03-12,99810.0,Acupuncture
103,2021-03-13,99810.0,Acupuncture
104,2021-03-14,99810.0,Acupuncture
105,2021-03-15,120358.0,Acupuncture
106,2021-03-16,120358.0,Acupuncture
107,2021-03-17,120358.0,Acupuncture
108,2021-03-18,121721.0,Acupuncture
109,2021-03-19,121721.0,Acupuncture
110,2021-03-20,121721.0,Acupuncture
111,2021-03-21,121721.0,Acupuncture
112,2021-03-22,121721.0,Acupuncture
113,2021-03-23,106865.0,Acupuncture
114,2021-03-24,106865.0,Acupuncture
115,2021-03-25,106865.0,Acupuncture
116,2021-03-26,106865.0,Acupuncture
117,2021-03-27,106865.0,Acupuncture
118,2021-03-28,106865.0,Acupuncture
119,2021-03-29,106865.0,Acupuncture
120,2021-03-30,184220.0,Acupuncture
121,2021-03-31,184220.0,Acupuncture
122,2021-04-01,184220.0,Acupuncture
123,2021-04-02,184220.0,Acupuncture
124,2021-04-03,184220.0,Acupuncture
125,2021-04-04,101049.0,Acupuncture
126,2021-04-05,101049.0,Acupuncture
127,2021-04-06,101049.0,Acupuncture
128,2021-04-07,84165.0,Acupuncture
129,2021-04-08,84165.0,Acupuncture
130,2021-04-09,84165.0,Acupuncture
131,2021-04-10,84165.0,Acupuncture
132,2021-04-11,84165.0,Acupuncture
133,2021-04-12,62329.0,Acupuncture
134,2021-04-13,62329.0,Acupuncture
135,2021-04-14,62329.0,Acupuncture
136,2021-04-15,85598.0,Acupuncture
137,2021-04-16,85598.0,Acupuncture
138,2021-04-17,85598.0,Acupuncture
139,2021-04-18,85598.0,Acupuncture
140,2021-04-19,85598.0,Acupuncture
141,2021-04-20,54721.0,Acupuncture
142,2021-04-21,89556.0,Acupuncture
143,2021-04-22,89556.0,Acupuncture
144,2021-04-23,61761.0,Acupuncture
145,2021-04-24,61761.0,Acupuncture
146,2021-04-25,61761.0,Acupuncture
147,2021-04-26,61761.0,Acupuncture
148,2021-04-27,61761.0,Acupuncture
149,2021-04-28,63209.0,Acupuncture
150,2021-04-29,63209.0,Acupuncture
151,2021-04-30,34875.0,Acupuncture
152,2021-05-01,34875.0,Acupuncture
153,2021-05-02,34875.0,Acupuncture
154,2021-05-03,35846.0,Acupuncture
155,2021-05-04,35846.0,Acupuncture
156,2021-05-05,32750.0,Acupuncture
157,2021-05-06,32750.0,Acupuncture
158,2021-05-07,36371.0,Acupuncture
159,2021-05-08,36371.0,Acupuncture
160,2021-05-09,36371.0,Acupuncture
161,2021-05-10,36371.0,Acupuncture
162,2021-05-11,51090.0,Acupuncture
163,2021-05-12,51090.0,Acupuncture
164,2021-05-13,51090.0,Acupuncture
165,2021-05-14,51090.0,Acupuncture
166,2021-05-15,51090.0,Acupuncture
167,2021-05-16,51090.0,Acupuncture
168,2021-05-17,51090.0,Acupuncture
169,2021-05-18,51090.0,Acupuncture
170,2021-05-19,50357.0,Acupuncture
171,2021-05-20,70969.0,Acupuncture
172,2021-05-21,70969.0,Acupuncture
173,2021-05-22,23955.0,Acupuncture
174,2021-05-23,34102.0,Acupuncture
175,2021-05-24,34102.0,Acupuncture
176,2021-05-25,34102.0,Acupuncture
177,2021-05-26,34102.0,Acupuncture
178,2021-05-27,52203.0,Acupuncture
179,2021-05-28,52203.0,Acupuncture
180,2021-05-29,54615.0,Acupuncture
181,2021-05-30,54615.0,Acupuncture
182,2021-05-31,54615.0,Acupuncture
183,2021-06-01,76180.0,Acupuncture
184,2021-06-02,76180.0,Acupuncture
185,2021-06-03,76180.0,Acupuncture
186,2021-06-04,76180.0,Acupuncture
187,2021-06-05,76180.0,Acupuncture
188,2021-06-06,76180.0,Acupuncture
189,2021-06-07,80224.0,Acupuncture
190,2021-06-08,80224.0,Acupuncture
191,2021-06-09,88232.0,Acupuncture
192,2021-06-10,63222.0,Acupuncture
193,2021-06-11,63222.0,Acupuncture
194,2021-06-12,63222.0,Acupuncture
195,2021-06-13,63222.0,Acupuncture
196,2021-06-14,63222.0,Acupuncture
197,2021-06-15,72117.0,Acupuncture
198,2021-06-16,72117.0,Acupuncture
199,2021-06-17,19631.0,Acupuncture
200,2021-06-18,17219.0,Acupuncture
201,2021-06-19,28676.0,Acupuncture
202,2021-06-20,28676.0,Acupuncture
203,2021-06-21,28676.0,Acupuncture
204,2021-06-22,29757.0,Acupuncture
205,2021-06-23,29757.0,Acupuncture
206,2021-06-24,24173.0,Acupuncture
207,2021-06-25,24173.0,Acupuncture
208,2021-06-26,28884.0,Acupuncture
209,2021-06-27,28884.0,Acupuncture
210,2021-06-28,38458.0,Acupuncture
211,2021-06-29,47199.0,Acupuncture
212,2021-06-30,47199.0,Acupuncture
213,2021-07-01,47199.0,Acupuncture
214,2021-07-02,47199.0,Acupuncture
215,2021-07-03,47199.0,Acupuncture
216,2021-07-04,39584.0,Acupuncture
217,2021-07-05,39584.0,Acupuncture
218,2021-07-06,39584.0,Acupuncture
219,2021-07-07,39584.0,Acupuncture
220,2021-07-08,59242.0,Acupuncture
221,2021-07-09,38873.0,Acupuncture
