,date,value,name_B07Q58ZWCS
75,2020-08-10,476.0,Adhesive Bandages
76,2020-08-11,476.0,Adhesive Bandages
77,2020-08-12,482.0,Adhesive Bandages
78,2020-08-13,482.0,Adhesive Bandages
79,2020-08-14,482.0,Adhesive Bandages
80,2020-08-15,532.0,Adhesive Bandages
81,2020-08-16,532.0,Adhesive Bandages
82,2020-08-17,508.0,Adhesive Bandages
83,2020-08-18,508.0,Adhesive Bandages
84,2020-08-19,508.0,Adhesive Bandages
85,2020-08-20,491.0,Adhesive Bandages
86,2020-08-21,543.0,Adhesive Bandages
87,2020-08-22,543.0,Adhesive Bandages
88,2020-08-23,543.0,Adhesive Bandages
89,2020-08-24,427.0,Adhesive Bandages
90,2020-08-25,427.0,Adhesive Bandages
91,2020-08-26,427.0,Adhesive Bandages
92,2020-08-27,454.0,Adhesive Bandages
93,2020-08-28,454.0,Adhesive Bandages
94,2020-08-29,368.0,Adhesive Bandages
95,2020-08-30,400.0,Adhesive Bandages
96,2020-08-31,400.0,Adhesive Bandages
97,2020-09-01,398.0,Adhesive Bandages
98,2020-09-02,491.0,Adhesive Bandages
99,2020-09-03,491.0,Adhesive Bandages
100,2020-09-04,501.0,Adhesive Bandages
101,2020-09-05,417.0,Adhesive Bandages
102,2020-09-06,417.0,Adhesive Bandages
103,2020-09-07,417.0,Adhesive Bandages
104,2020-09-08,374.0,Adhesive Bandages
105,2020-09-09,374.0,Adhesive Bandages
106,2020-09-10,399.0,Adhesive Bandages
107,2020-09-11,444.0,Adhesive Bandages
108,2020-09-12,416.0,Adhesive Bandages
109,2020-09-13,416.0,Adhesive Bandages
110,2020-09-14,587.0,Adhesive Bandages
111,2020-09-15,776.0,Adhesive Bandages
112,2020-09-16,773.0,Adhesive Bandages
113,2020-09-17,773.0,Adhesive Bandages
114,2020-09-18,853.0,Adhesive Bandages
115,2020-09-19,961.0,Adhesive Bandages
116,2020-09-20,770.0,Adhesive Bandages
117,2020-09-21,770.0,Adhesive Bandages
118,2020-09-22,717.0,Adhesive Bandages
119,2020-09-23,717.0,Adhesive Bandages
120,2020-09-24,1115.0,Adhesive Bandages
121,2020-09-25,1115.0,Adhesive Bandages
122,2020-09-26,1115.0,Adhesive Bandages
123,2020-09-27,958.0,Adhesive Bandages
124,2020-09-28,958.0,Adhesive Bandages
125,2020-09-29,911.0,Adhesive Bandages
126,2020-09-30,911.0,Adhesive Bandages
127,2020-10-01,859.0,Adhesive Bandages
128,2020-10-02,859.0,Adhesive Bandages
129,2020-10-03,974.0,Adhesive Bandages
130,2020-10-04,974.0,Adhesive Bandages
131,2020-10-05,974.0,Adhesive Bandages
132,2020-10-06,600.0,Adhesive Bandages
133,2020-10-07,612.0,Adhesive Bandages
134,2020-10-08,1023.0,Adhesive Bandages
135,2020-10-09,1023.0,Adhesive Bandages
136,2020-10-10,1023.0,Adhesive Bandages
137,2020-10-11,776.0,Adhesive Bandages
138,2020-10-12,776.0,Adhesive Bandages
139,2020-10-13,776.0,Adhesive Bandages
140,2020-10-14,804.0,Adhesive Bandages
141,2020-10-15,826.0,Adhesive Bandages
142,2020-10-16,826.0,Adhesive Bandages
143,2020-10-17,734.0,Adhesive Bandages
144,2020-10-18,734.0,Adhesive Bandages
145,2020-10-19,854.0,Adhesive Bandages
146,2020-10-20,1055.0,Adhesive Bandages
147,2020-10-21,936.0,Adhesive Bandages
148,2020-10-22,936.0,Adhesive Bandages
149,2020-10-23,1003.0,Adhesive Bandages
150,2020-10-24,1003.0,Adhesive Bandages
151,2020-10-25,764.0,Adhesive Bandages
152,2020-10-26,764.0,Adhesive Bandages
153,2020-10-27,764.0,Adhesive Bandages
154,2020-10-28,906.0,Adhesive Bandages
155,2020-10-29,906.0,Adhesive Bandages
156,2020-10-30,906.0,Adhesive Bandages
157,2020-10-31,587.0,Adhesive Bandages
158,2020-11-01,587.0,Adhesive Bandages
159,2020-11-02,456.0,Adhesive Bandages
160,2020-11-03,421.0,Adhesive Bandages
161,2020-11-04,456.0,Adhesive Bandages
162,2020-11-05,456.0,Adhesive Bandages
163,2020-11-06,486.0,Adhesive Bandages
164,2020-11-07,515.0,Adhesive Bandages
165,2020-11-08,515.0,Adhesive Bandages
166,2020-11-09,498.0,Adhesive Bandages
167,2020-11-10,498.0,Adhesive Bandages
168,2020-11-11,596.0,Adhesive Bandages
169,2020-11-12,596.0,Adhesive Bandages
170,2020-11-13,596.0,Adhesive Bandages
171,2020-11-14,540.0,Adhesive Bandages
172,2020-11-15,540.0,Adhesive Bandages
173,2020-11-16,540.0,Adhesive Bandages
174,2020-11-17,509.0,Adhesive Bandages
175,2020-11-18,509.0,Adhesive Bandages
176,2020-11-19,692.0,Adhesive Bandages
177,2020-11-20,692.0,Adhesive Bandages
178,2020-11-21,692.0,Adhesive Bandages
179,2020-11-22,475.0,Adhesive Bandages
180,2020-11-23,475.0,Adhesive Bandages
181,2020-11-24,475.0,Adhesive Bandages
182,2020-11-25,591.0,Adhesive Bandages
183,2020-11-26,738.0,Adhesive Bandages
184,2020-11-27,738.0,Adhesive Bandages
185,2020-11-28,642.0,Adhesive Bandages
186,2020-11-29,642.0,Adhesive Bandages
187,2020-11-30,642.0,Adhesive Bandages
188,2020-12-01,780.0,Adhesive Bandages
189,2020-12-02,821.0,Adhesive Bandages
190,2020-12-03,821.0,Adhesive Bandages
191,2020-12-04,821.0,Adhesive Bandages
192,2020-12-05,607.0,Adhesive Bandages
193,2020-12-06,607.0,Adhesive Bandages
194,2020-12-07,583.0,Adhesive Bandages
195,2020-12-08,647.0,Adhesive Bandages
196,2020-12-09,647.0,Adhesive Bandages
197,2020-12-10,627.0,Adhesive Bandages
198,2020-12-11,627.0,Adhesive Bandages
199,2020-12-12,734.0,Adhesive Bandages
200,2020-12-13,734.0,Adhesive Bandages
201,2020-12-14,734.0,Adhesive Bandages
202,2020-12-15,559.0,Adhesive Bandages
203,2020-12-16,667.0,Adhesive Bandages
204,2020-12-17,667.0,Adhesive Bandages
205,2020-12-18,608.0,Adhesive Bandages
206,2020-12-19,608.0,Adhesive Bandages
207,2020-12-20,569.0,Adhesive Bandages
208,2020-12-21,483.0,Adhesive Bandages
209,2020-12-22,483.0,Adhesive Bandages
210,2020-12-23,483.0,Adhesive Bandages
211,2020-12-24,442.0,Adhesive Bandages
212,2020-12-25,442.0,Adhesive Bandages
213,2020-12-26,354.0,Adhesive Bandages
214,2020-12-27,354.0,Adhesive Bandages
215,2020-12-28,354.0,Adhesive Bandages
216,2020-12-29,406.0,Adhesive Bandages
217,2020-12-30,406.0,Adhesive Bandages
218,2020-12-31,406.0,Adhesive Bandages
219,2021-01-01,348.0,Adhesive Bandages
220,2021-01-02,348.0,Adhesive Bandages
221,2021-01-03,348.0,Adhesive Bandages
222,2021-01-04,412.0,Adhesive Bandages
223,2021-01-05,412.0,Adhesive Bandages
224,2021-01-06,406.0,Adhesive Bandages
