,date,value,name_B08SR2Y182
80,2021-04-07,5176.0,Hip & Joint Care
81,2021-04-08,4976.0,Hip & Joint Care
82,2021-04-09,5717.0,Hip & Joint Care
83,2021-04-10,4632.0,Hip & Joint Care
84,2021-04-11,4632.0,Hip & Joint Care
85,2021-04-12,4991.0,Hip & Joint Care
86,2021-04-13,4859.0,Hip & Joint Care
87,2021-04-14,4979.0,Hip & Joint Care
88,2021-04-15,5433.0,Hip & Joint Care
89,2021-04-16,4664.0,Hip & Joint Care
90,2021-04-17,3888.0,Hip & Joint Care
91,2021-04-18,3888.0,Hip & Joint Care
92,2021-04-19,4803.0,Hip & Joint Care
93,2021-04-20,4891.0,Hip & Joint Care
94,2021-04-21,4957.0,Hip & Joint Care
95,2021-04-22,4760.0,Hip & Joint Care
96,2021-04-23,4045.0,Hip & Joint Care
97,2021-04-24,4641.0,Hip & Joint Care
98,2021-04-25,4667.0,Hip & Joint Care
99,2021-04-26,4584.0,Hip & Joint Care
100,2021-04-27,4850.0,Hip & Joint Care
101,2021-04-28,3493.0,Hip & Joint Care
102,2021-04-29,5438.0,Hip & Joint Care
103,2021-04-30,4760.0,Hip & Joint Care
104,2021-05-01,4403.0,Hip & Joint Care
105,2021-05-02,5341.0,Hip & Joint Care
106,2021-05-03,4714.0,Hip & Joint Care
107,2021-05-04,5413.0,Hip & Joint Care
108,2021-05-05,4075.0,Hip & Joint Care
109,2021-05-06,4855.0,Hip & Joint Care
110,2021-05-07,4783.0,Hip & Joint Care
111,2021-05-08,3888.0,Hip & Joint Care
112,2021-05-09,3888.0,Hip & Joint Care
113,2021-05-10,4803.0,Hip & Joint Care
114,2021-05-11,4274.0,Hip & Joint Care
115,2021-05-12,3945.0,Hip & Joint Care
116,2021-05-13,3689.0,Hip & Joint Care
117,2021-05-14,3917.0,Hip & Joint Care
118,2021-05-15,3917.0,Hip & Joint Care
119,2021-05-16,3917.0,Hip & Joint Care
120,2021-05-17,4018.0,Hip & Joint Care
121,2021-05-18,4018.0,Hip & Joint Care
122,2021-05-19,3969.0,Hip & Joint Care
123,2021-05-20,4054.0,Hip & Joint Care
124,2021-05-21,4054.0,Hip & Joint Care
125,2021-05-22,4560.0,Hip & Joint Care
126,2021-05-23,4560.0,Hip & Joint Care
127,2021-05-24,4431.0,Hip & Joint Care
128,2021-05-25,4431.0,Hip & Joint Care
129,2021-05-26,4630.0,Hip & Joint Care
130,2021-05-27,4630.0,Hip & Joint Care
131,2021-05-28,5347.0,Hip & Joint Care
132,2021-05-29,5347.0,Hip & Joint Care
133,2021-05-30,5347.0,Hip & Joint Care
134,2021-05-31,4696.0,Hip & Joint Care
135,2021-06-01,4696.0,Hip & Joint Care
136,2021-06-02,5019.0,Hip & Joint Care
137,2021-06-03,5019.0,Hip & Joint Care
138,2021-06-04,4812.0,Hip & Joint Care
139,2021-06-05,5178.0,Hip & Joint Care
140,2021-06-06,4577.0,Hip & Joint Care
141,2021-06-07,5255.0,Hip & Joint Care
142,2021-06-08,5264.0,Hip & Joint Care
143,2021-06-09,5013.0,Hip & Joint Care
144,2021-06-10,5546.0,Hip & Joint Care
145,2021-06-11,5151.0,Hip & Joint Care
146,2021-06-12,4782.0,Hip & Joint Care
147,2021-06-13,4782.0,Hip & Joint Care
148,2021-06-14,4598.0,Hip & Joint Care
149,2021-06-15,4598.0,Hip & Joint Care
150,2021-06-16,4598.0,Hip & Joint Care
151,2021-06-17,3918.0,Hip & Joint Care
152,2021-06-18,3918.0,Hip & Joint Care
153,2021-06-19,3920.0,Hip & Joint Care
154,2021-06-20,3920.0,Hip & Joint Care
155,2021-06-21,3920.0,Hip & Joint Care
156,2021-06-22,5870.0,Hip & Joint Care
157,2021-06-23,5870.0,Hip & Joint Care
158,2021-06-24,5870.0,Hip & Joint Care
159,2021-06-25,3860.0,Hip & Joint Care
160,2021-06-26,3860.0,Hip & Joint Care
161,2021-06-27,3942.0,Hip & Joint Care
162,2021-06-28,3942.0,Hip & Joint Care
163,2021-06-29,5256.0,Hip & Joint Care
164,2021-06-30,5256.0,Hip & Joint Care
165,2021-07-01,5256.0,Hip & Joint Care
166,2021-07-02,6048.0,Hip & Joint Care
167,2021-07-03,6048.0,Hip & Joint Care
168,2021-07-04,4655.0,Hip & Joint Care
169,2021-07-05,4655.0,Hip & Joint Care
170,2021-07-06,5601.0,Hip & Joint Care
171,2021-07-07,5601.0,Hip & Joint Care
172,2021-07-08,5601.0,Hip & Joint Care
173,2021-07-09,5088.0,Hip & Joint Care
174,2021-07-10,4691.0,Hip & Joint Care
