,date,value,name_B087Q6WT5H
332,2021-04-23,11997.0,Back Braces
333,2021-04-24,11997.0,Back Braces
334,2021-04-25,11997.0,Back Braces
335,2021-04-26,10426.0,Back Braces
336,2021-04-27,10426.0,Back Braces
337,2021-04-28,9686.0,Back Braces
338,2021-04-29,9686.0,Back Braces
339,2021-04-30,9102.0,Back Braces
340,2021-05-01,9102.0,Back Braces
341,2021-05-02,9024.0,Back Braces
342,2021-05-03,10410.0,Back Braces
343,2021-05-04,10410.0,Back Braces
344,2021-05-05,10410.0,Back Braces
345,2021-05-06,9608.0,Back Braces
346,2021-05-07,9608.0,Back Braces
347,2021-05-08,8929.0,Back Braces
348,2021-05-09,8825.0,Back Braces
349,2021-05-10,8851.0,Back Braces
350,2021-05-11,8851.0,Back Braces
351,2021-05-12,9818.0,Back Braces
352,2021-05-13,8835.0,Back Braces
353,2021-05-14,8811.0,Back Braces
354,2021-05-15,7350.0,Back Braces
355,2021-05-16,9656.0,Back Braces
356,2021-05-17,9656.0,Back Braces
357,2021-05-18,7306.0,Back Braces
358,2021-05-19,6945.0,Back Braces
359,2021-05-20,6675.0,Back Braces
360,2021-05-21,7046.0,Back Braces
361,2021-05-22,6315.0,Back Braces
362,2021-05-23,6315.0,Back Braces
363,2021-05-24,9281.0,Back Braces
364,2021-05-25,10316.0,Back Braces
365,2021-05-26,10316.0,Back Braces
366,2021-05-27,10316.0,Back Braces
367,2021-05-28,8676.0,Back Braces
368,2021-05-29,8664.0,Back Braces
369,2021-05-30,8664.0,Back Braces
370,2021-05-31,7883.0,Back Braces
371,2021-06-01,7883.0,Back Braces
372,2021-06-02,8656.0,Back Braces
373,2021-06-03,8353.0,Back Braces
374,2021-06-04,8353.0,Back Braces
375,2021-06-05,8353.0,Back Braces
376,2021-06-06,8705.0,Back Braces
377,2021-06-07,7639.0,Back Braces
378,2021-06-08,7128.0,Back Braces
379,2021-06-09,7010.0,Back Braces
380,2021-06-10,7010.0,Back Braces
381,2021-06-11,7491.0,Back Braces
382,2021-06-12,7491.0,Back Braces
383,2021-06-13,7491.0,Back Braces
384,2021-06-14,7723.0,Back Braces
385,2021-06-15,7723.0,Back Braces
386,2021-06-16,6522.0,Back Braces
387,2021-06-17,6421.0,Back Braces
388,2021-06-18,6311.0,Back Braces
389,2021-06-19,6311.0,Back Braces
390,2021-06-20,6311.0,Back Braces
391,2021-06-21,7309.0,Back Braces
392,2021-06-22,7280.0,Back Braces
393,2021-06-23,6988.0,Back Braces
394,2021-06-24,6988.0,Back Braces
395,2021-06-25,6988.0,Back Braces
396,2021-06-26,5672.0,Back Braces
397,2021-06-27,5672.0,Back Braces
398,2021-06-28,6075.0,Back Braces
399,2021-06-29,5972.0,Back Braces
400,2021-06-30,5972.0,Back Braces
401,2021-07-01,7214.0,Back Braces
402,2021-07-02,7214.0,Back Braces
403,2021-07-03,5610.0,Back Braces
404,2021-07-04,5610.0,Back Braces
405,2021-07-05,4824.0,Back Braces
406,2021-07-06,5500.0,Back Braces
407,2021-07-07,5328.0,Back Braces
408,2021-07-08,5224.0,Back Braces
409,2021-07-09,5108.0,Back Braces
410,2021-07-10,4997.0,Back Braces
