,date,value,name_B08SQSM4HG
93,2021-05-10,9096.0,Medicinal Sleep Aids
94,2021-05-11,9096.0,Medicinal Sleep Aids
95,2021-05-12,9096.0,Medicinal Sleep Aids
96,2021-05-13,10470.0,Medicinal Sleep Aids
97,2021-05-14,10470.0,Medicinal Sleep Aids
98,2021-05-15,9072.0,Medicinal Sleep Aids
99,2021-05-16,9072.0,Medicinal Sleep Aids
100,2021-05-17,7742.0,Medicinal Sleep Aids
101,2021-05-18,7742.0,Medicinal Sleep Aids
102,2021-05-19,6662.0,Medicinal Sleep Aids
103,2021-05-20,5768.0,Medicinal Sleep Aids
104,2021-05-21,5354.0,Medicinal Sleep Aids
105,2021-05-22,5354.0,Medicinal Sleep Aids
106,2021-05-23,5354.0,Medicinal Sleep Aids
107,2021-05-24,7870.0,Medicinal Sleep Aids
108,2021-05-25,8976.0,Medicinal Sleep Aids
109,2021-05-26,8976.0,Medicinal Sleep Aids
110,2021-05-27,8525.0,Medicinal Sleep Aids
111,2021-05-28,8525.0,Medicinal Sleep Aids
112,2021-05-29,8525.0,Medicinal Sleep Aids
113,2021-05-30,10078.0,Medicinal Sleep Aids
114,2021-05-31,10078.0,Medicinal Sleep Aids
115,2021-06-01,7146.0,Medicinal Sleep Aids
116,2021-06-02,7146.0,Medicinal Sleep Aids
117,2021-06-03,7146.0,Medicinal Sleep Aids
118,2021-06-04,6759.0,Medicinal Sleep Aids
119,2021-06-05,6759.0,Medicinal Sleep Aids
120,2021-06-06,6759.0,Medicinal Sleep Aids
121,2021-06-07,4148.0,Medicinal Sleep Aids
122,2021-06-08,4148.0,Medicinal Sleep Aids
123,2021-06-09,5584.0,Medicinal Sleep Aids
124,2021-06-10,5584.0,Medicinal Sleep Aids
125,2021-06-11,5968.0,Medicinal Sleep Aids
126,2021-06-12,5968.0,Medicinal Sleep Aids
127,2021-06-13,5968.0,Medicinal Sleep Aids
128,2021-06-14,6576.0,Medicinal Sleep Aids
129,2021-06-15,6576.0,Medicinal Sleep Aids
130,2021-06-16,6652.0,Medicinal Sleep Aids
131,2021-06-17,6900.0,Medicinal Sleep Aids
132,2021-06-18,6900.0,Medicinal Sleep Aids
133,2021-06-19,6900.0,Medicinal Sleep Aids
134,2021-06-20,5444.0,Medicinal Sleep Aids
135,2021-06-21,5628.0,Medicinal Sleep Aids
136,2021-06-22,6309.0,Medicinal Sleep Aids
137,2021-06-23,7302.0,Medicinal Sleep Aids
138,2021-06-24,7302.0,Medicinal Sleep Aids
139,2021-06-25,7302.0,Medicinal Sleep Aids
140,2021-06-26,7302.0,Medicinal Sleep Aids
141,2021-06-27,7302.0,Medicinal Sleep Aids
142,2021-06-28,6050.0,Medicinal Sleep Aids
143,2021-06-29,6050.0,Medicinal Sleep Aids
144,2021-06-30,5560.0,Medicinal Sleep Aids
145,2021-07-01,5560.0,Medicinal Sleep Aids
146,2021-07-02,5560.0,Medicinal Sleep Aids
147,2021-07-03,5094.0,Medicinal Sleep Aids
148,2021-07-04,5094.0,Medicinal Sleep Aids
149,2021-07-05,5094.0,Medicinal Sleep Aids
150,2021-07-06,5094.0,Medicinal Sleep Aids
151,2021-07-07,5094.0,Medicinal Sleep Aids
152,2021-07-08,6816.0,Medicinal Sleep Aids
153,2021-07-09,6816.0,Medicinal Sleep Aids
154,2021-07-10,8530.0,Medicinal Sleep Aids
155,2021-07-11,7870.0,Medicinal Sleep Aids
