,date,value,name_B08PQB951B
67,2021-02-15,222287.0,Health Care
68,2021-02-16,222287.0,Health Care
69,2021-02-17,222287.0,Health Care
70,2021-02-18,228279.0,Health Care
71,2021-02-19,228279.0,Health Care
72,2021-02-20,228279.0,Health Care
73,2021-02-21,131431.0,Health Care
74,2021-02-22,131431.0,Health Care
75,2021-02-23,131431.0,Health Care
76,2021-02-24,131431.0,Health Care
77,2021-02-25,131431.0,Health Care
78,2021-02-26,236895.0,Health Care
79,2021-02-27,237369.0,Health Care
80,2021-02-28,237369.0,Health Care
81,2021-03-01,237816.0,Health Care
82,2021-03-02,237816.0,Health Care
83,2021-03-03,237816.0,Health Care
84,2021-03-04,237816.0,Health Care
85,2021-03-05,243379.0,Health Care
86,2021-03-06,243379.0,Health Care
87,2021-03-07,243379.0,Health Care
88,2021-03-08,237880.0,Health Care
89,2021-03-09,237880.0,Health Care
90,2021-03-10,237880.0,Health Care
91,2021-03-11,237880.0,Health Care
92,2021-03-12,237880.0,Health Care
93,2021-03-13,237880.0,Health Care
94,2021-03-14,237880.0,Health Care
95,2021-03-15,237880.0,Health Care
96,2021-03-16,237880.0,Health Care
97,2021-03-17,237880.0,Health Care
98,2021-03-18,257102.0,Health Care
99,2021-03-19,257102.0,Health Care
100,2021-03-20,257102.0,Health Care
101,2021-03-21,257102.0,Health Care
102,2021-03-22,257102.0,Health Care
103,2021-03-23,257102.0,Health Care
104,2021-03-24,257102.0,Health Care
105,2021-03-25,257102.0,Health Care
106,2021-03-26,212615.0,Health Care
107,2021-03-27,212615.0,Health Care
108,2021-03-28,212615.0,Health Care
109,2021-03-29,212615.0,Health Care
110,2021-03-30,212615.0,Health Care
111,2021-03-31,90575.0,Health Care
112,2021-04-01,90575.0,Health Care
113,2021-04-02,90575.0,Health Care
114,2021-04-03,90575.0,Health Care
115,2021-04-04,90575.0,Health Care
116,2021-04-05,170696.0,Health Care
117,2021-04-06,170696.0,Health Care
118,2021-04-07,170696.0,Health Care
119,2021-04-08,170696.0,Health Care
120,2021-04-09,170696.0,Health Care
121,2021-04-10,129502.0,Health Care
122,2021-04-11,129502.0,Health Care
123,2021-04-12,129502.0,Health Care
124,2021-04-13,24108.0,Health Care
125,2021-04-14,24108.0,Health Care
126,2021-04-15,24108.0,Health Care
127,2021-04-16,24108.0,Health Care
128,2021-04-17,24108.0,Health Care
129,2021-04-18,53226.0,Health Care
130,2021-04-19,53226.0,Health Care
131,2021-04-20,53226.0,Health Care
132,2021-04-21,68117.0,Health Care
133,2021-04-22,77928.0,Health Care
134,2021-04-23,91738.0,Health Care
135,2021-04-24,103612.0,Health Care
136,2021-04-25,103612.0,Health Care
137,2021-04-26,103612.0,Health Care
138,2021-04-27,103612.0,Health Care
139,2021-04-28,103612.0,Health Care
140,2021-04-29,103612.0,Health Care
141,2021-04-30,26934.0,Health Care
142,2021-05-01,26934.0,Health Care
143,2021-05-02,26934.0,Health Care
144,2021-05-03,26934.0,Health Care
145,2021-05-04,26648.0,Health Care
146,2021-05-05,26648.0,Health Care
147,2021-05-06,26648.0,Health Care
148,2021-05-07,23806.0,Health Care
149,2021-05-08,23806.0,Health Care
150,2021-05-09,23806.0,Health Care
151,2021-05-10,23806.0,Health Care
152,2021-05-11,23806.0,Health Care
153,2021-05-12,23806.0,Health Care
154,2021-05-13,42890.0,Health Care
155,2021-05-14,42890.0,Health Care
156,2021-05-15,42890.0,Health Care
157,2021-05-16,20709.0,Health Care
158,2021-05-17,20709.0,Health Care
159,2021-05-18,20709.0,Health Care
160,2021-05-19,20709.0,Health Care
161,2021-05-20,20709.0,Health Care
162,2021-05-21,19865.0,Health Care
163,2021-05-22,18015.0,Health Care
164,2021-05-23,18015.0,Health Care
165,2021-05-24,20152.0,Health Care
166,2021-05-25,20152.0,Health Care
167,2021-05-26,959.0,Health Care
168,2021-05-27,2806.0,Health Care
169,2021-05-28,2806.0,Health Care
170,2021-05-29,5440.0,Health Care
171,2021-05-30,2185.0,Health Care
172,2021-05-31,2185.0,Health Care
173,2021-06-01,5030.0,Health Care
174,2021-06-02,5030.0,Health Care
175,2021-06-03,11664.0,Health Care
176,2021-06-04,11664.0,Health Care
177,2021-06-05,11664.0,Health Care
178,2021-06-06,11686.0,Health Care
179,2021-06-07,17591.0,Health Care
180,2021-06-08,17591.0,Health Care
181,2021-06-09,17591.0,Health Care
182,2021-06-10,16772.0,Health Care
183,2021-06-11,16772.0,Health Care
184,2021-06-12,16772.0,Health Care
185,2021-06-13,16772.0,Health Care
186,2021-06-14,13242.0,Health Care
187,2021-06-15,13242.0,Health Care
188,2021-06-16,14421.0,Health Care
189,2021-06-17,14421.0,Health Care
190,2021-06-18,14421.0,Health Care
191,2021-06-19,13414.0,Health Care
192,2021-06-20,13414.0,Health Care
193,2021-06-21,13705.0,Health Care
194,2021-06-22,13705.0,Health Care
195,2021-06-23,13705.0,Health Care
196,2021-06-24,13705.0,Health Care
197,2021-06-25,13705.0,Health Care
198,2021-06-26,13705.0,Health Care
199,2021-06-27,13705.0,Health Care
200,2021-06-28,15109.0,Health Care
201,2021-06-29,15109.0,Health Care
202,2021-06-30,18329.0,Health Care
203,2021-07-01,18329.0,Health Care
204,2021-07-02,24231.0,Health Care
205,2021-07-03,24231.0,Health Care
206,2021-07-04,24231.0,Health Care
207,2021-07-05,24231.0,Health Care
208,2021-07-06,27478.0,Health Care
209,2021-07-07,11648.0,Health Care
210,2021-07-08,21947.0,Health Care
211,2021-07-09,21947.0,Health Care
212,2021-07-10,23043.0,Health Care
