,date,value,name_B08532LRTM
66,2020-08-01,15924.0,Health Care
67,2020-08-02,15924.0,Health Care
68,2020-08-03,16501.0,Health Care
69,2020-08-04,12985.0,Health Care
70,2020-08-05,13790.0,Health Care
71,2020-08-06,13790.0,Health Care
72,2020-08-07,14421.0,Health Care
73,2020-08-08,14626.0,Health Care
74,2020-08-09,11348.0,Health Care
75,2020-08-10,11986.0,Health Care
76,2020-08-11,13973.0,Health Care
77,2020-08-12,13195.0,Health Care
78,2020-08-13,13195.0,Health Care
79,2020-08-14,13368.0,Health Care
80,2020-08-15,11228.0,Health Care
81,2020-08-16,11228.0,Health Care
82,2020-08-17,11412.0,Health Care
83,2020-08-18,11412.0,Health Care
84,2020-08-19,12380.0,Health Care
85,2020-08-20,11915.0,Health Care
86,2020-08-21,14170.0,Health Care
87,2020-08-22,14170.0,Health Care
88,2020-08-23,14170.0,Health Care
89,2020-08-24,14170.0,Health Care
90,2020-08-25,14170.0,Health Care
91,2020-08-26,14170.0,Health Care
92,2020-08-27,17639.0,Health Care
93,2020-08-28,15424.0,Health Care
94,2020-08-29,15424.0,Health Care
95,2020-08-30,15424.0,Health Care
96,2020-08-31,15424.0,Health Care
97,2020-09-01,14428.0,Health Care
98,2020-09-02,14428.0,Health Care
99,2020-09-03,14428.0,Health Care
100,2020-09-04,17611.0,Health Care
101,2020-09-05,17611.0,Health Care
102,2020-09-06,17611.0,Health Care
103,2020-09-07,17611.0,Health Care
104,2020-09-08,11187.0,Health Care
105,2020-09-09,11187.0,Health Care
106,2020-09-10,11187.0,Health Care
107,2020-09-11,13442.0,Health Care
108,2020-09-12,13442.0,Health Care
109,2020-09-13,13442.0,Health Care
110,2020-09-14,16220.0,Health Care
111,2020-09-15,16220.0,Health Care
112,2020-09-16,16220.0,Health Care
113,2020-09-17,15466.0,Health Care
114,2020-09-18,16736.0,Health Care
115,2020-09-19,16736.0,Health Care
116,2020-09-20,14982.0,Health Care
117,2020-09-21,14036.0,Health Care
118,2020-09-22,14028.0,Health Care
119,2020-09-23,16149.0,Health Care
120,2020-09-24,16149.0,Health Care
121,2020-09-25,16149.0,Health Care
122,2020-09-26,14260.0,Health Care
123,2020-09-27,14260.0,Health Care
124,2020-09-28,15803.0,Health Care
125,2020-09-29,15803.0,Health Care
126,2020-09-30,15803.0,Health Care
127,2020-10-01,18288.0,Health Care
128,2020-10-02,21814.0,Health Care
129,2020-10-03,21814.0,Health Care
130,2020-10-04,17243.0,Health Care
131,2020-10-05,17243.0,Health Care
132,2020-10-06,18691.0,Health Care
133,2020-10-07,18691.0,Health Care
134,2020-10-08,19596.0,Health Care
135,2020-10-09,17531.0,Health Care
136,2020-10-10,15069.0,Health Care
137,2020-10-11,12266.0,Health Care
138,2020-10-12,13413.0,Health Care
139,2020-10-13,16688.0,Health Care
140,2020-10-14,12097.0,Health Care
141,2020-10-15,3460.0,Health Care
142,2020-10-16,3894.0,Health Care
143,2020-10-17,3894.0,Health Care
144,2020-10-18,3894.0,Health Care
145,2020-10-19,9929.0,Health Care
146,2020-10-20,11469.0,Health Care
147,2020-10-21,12355.0,Health Care
148,2020-10-22,12408.0,Health Care
149,2020-10-23,13040.0,Health Care
150,2020-10-24,10380.0,Health Care
151,2020-10-25,10380.0,Health Care
152,2020-10-26,11712.0,Health Care
153,2020-10-27,12104.0,Health Care
154,2020-10-28,12104.0,Health Care
155,2020-10-29,13596.0,Health Care
156,2020-10-30,15048.0,Health Care
157,2020-10-31,10364.0,Health Care
158,2020-11-01,10353.0,Health Care
159,2020-11-02,10353.0,Health Care
160,2020-11-03,7884.0,Health Care
161,2020-11-04,6611.0,Health Care
162,2020-11-05,6611.0,Health Care
163,2020-11-06,5178.0,Health Care
164,2020-11-07,5400.0,Health Care
165,2020-11-08,5400.0,Health Care
166,2020-11-09,4459.0,Health Care
167,2020-11-10,6567.0,Health Care
168,2020-11-11,6567.0,Health Care
169,2020-11-12,25355.0,Health Care
170,2020-11-13,24598.0,Health Care
171,2020-11-14,24598.0,Health Care
172,2020-11-15,24998.0,Health Care
173,2020-11-16,21702.0,Health Care
174,2020-11-17,22408.0,Health Care
175,2020-11-18,22408.0,Health Care
176,2020-11-19,14428.0,Health Care
177,2020-11-20,14610.0,Health Care
178,2020-11-21,14610.0,Health Care
179,2020-11-22,14610.0,Health Care
180,2020-11-23,13541.0,Health Care
181,2020-11-24,13541.0,Health Care
182,2020-11-25,23724.0,Health Care
183,2020-11-26,15668.0,Health Care
184,2020-11-27,11902.0,Health Care
185,2020-11-28,9372.0,Health Care
186,2020-11-29,9372.0,Health Care
187,2020-11-30,9372.0,Health Care
188,2020-12-01,7867.0,Health Care
189,2020-12-02,7867.0,Health Care
190,2020-12-03,12295.0,Health Care
191,2020-12-04,14564.0,Health Care
192,2020-12-05,13521.0,Health Care
193,2020-12-06,12719.0,Health Care
194,2020-12-07,12719.0,Health Care
195,2020-12-08,10237.0,Health Care
196,2020-12-09,10550.0,Health Care
197,2020-12-10,10550.0,Health Care
198,2020-12-11,10550.0,Health Care
199,2020-12-12,10550.0,Health Care
200,2020-12-13,12757.0,Health Care
201,2020-12-14,12757.0,Health Care
202,2020-12-15,14842.0,Health Care
203,2020-12-16,10567.0,Health Care
204,2020-12-17,10567.0,Health Care
205,2020-12-18,10567.0,Health Care
206,2020-12-19,10567.0,Health Care
207,2020-12-20,14046.0,Health Care
208,2020-12-21,14046.0,Health Care
209,2020-12-22,18841.0,Health Care
210,2020-12-23,18841.0,Health Care
211,2020-12-24,18841.0,Health Care
212,2020-12-25,18841.0,Health Care
213,2020-12-26,18841.0,Health Care
214,2020-12-27,18390.0,Health Care
215,2020-12-28,30361.0,Health Care
216,2020-12-29,27010.0,Health Care
217,2020-12-30,27010.0,Health Care
218,2020-12-31,28976.0,Health Care
219,2021-01-01,28976.0,Health Care
220,2021-01-02,28976.0,Health Care
221,2021-01-03,16034.0,Health Care
222,2021-01-04,15524.0,Health Care
223,2021-01-05,15524.0,Health Care
224,2021-01-06,15524.0,Health Care
225,2021-01-07,19992.0,Health Care
226,2021-01-08,19992.0,Health Care
227,2021-01-09,19992.0,Health Care
228,2021-01-10,19992.0,Health Care
229,2021-01-11,17171.0,Health Care
230,2021-01-12,17171.0,Health Care
231,2021-01-13,17171.0,Health Care
232,2021-01-14,17881.0,Health Care
233,2021-01-15,18339.0,Health Care
234,2021-01-16,18339.0,Health Care
235,2021-01-17,18339.0,Health Care
236,2021-01-18,13627.0,Health Care
237,2021-01-19,15403.0,Health Care
238,2021-01-20,16024.0,Health Care
239,2021-01-21,16760.0,Health Care
240,2021-01-22,16760.0,Health Care
241,2021-01-23,14123.0,Health Care
242,2021-01-24,14123.0,Health Care
243,2021-01-25,15973.0,Health Care
244,2021-01-26,13799.0,Health Care
245,2021-01-27,13799.0,Health Care
246,2021-01-28,13799.0,Health Care
247,2021-01-29,12469.0,Health Care
248,2021-01-30,12469.0,Health Care
249,2021-01-31,12469.0,Health Care
250,2021-02-01,11361.0,Health Care
251,2021-02-02,11361.0,Health Care
252,2021-02-03,11361.0,Health Care
253,2021-02-04,11361.0,Health Care
254,2021-02-05,11156.0,Health Care
255,2021-02-06,11156.0,Health Care
256,2021-02-07,17027.0,Health Care
257,2021-02-08,17027.0,Health Care
258,2021-02-09,19781.0,Health Care
259,2021-02-10,19781.0,Health Care
260,2021-02-11,15005.0,Health Care
261,2021-02-12,15005.0,Health Care
262,2021-02-13,17379.0,Health Care
263,2021-02-14,17379.0,Health Care
264,2021-02-15,17379.0,Health Care
265,2021-02-16,34104.0,Health Care
266,2021-02-17,34104.0,Health Care
267,2021-02-18,34104.0,Health Care
268,2021-02-19,18134.0,Health Care
269,2021-02-20,17213.0,Health Care
270,2021-02-21,17213.0,Health Care
271,2021-02-22,31789.0,Health Care
272,2021-02-23,31789.0,Health Care
273,2021-02-24,31789.0,Health Care
274,2021-02-25,20366.0,Health Care
275,2021-02-26,19515.0,Health Care
276,2021-02-27,19515.0,Health Care
277,2021-02-28,19515.0,Health Care
278,2021-03-01,22612.0,Health Care
279,2021-03-02,22612.0,Health Care
280,2021-03-03,13543.0,Health Care
281,2021-03-04,13543.0,Health Care
282,2021-03-05,12588.0,Health Care
283,2021-03-06,12588.0,Health Care
284,2021-03-07,12588.0,Health Care
285,2021-03-08,13105.0,Health Care
286,2021-03-09,13105.0,Health Care
287,2021-03-10,13105.0,Health Care
288,2021-03-11,12834.0,Health Care
289,2021-03-12,12834.0,Health Care
290,2021-03-13,12834.0,Health Care
291,2021-03-14,12834.0,Health Care
292,2021-03-15,13155.0,Health Care
293,2021-03-16,13155.0,Health Care
294,2021-03-17,17922.0,Health Care
295,2021-03-18,17922.0,Health Care
296,2021-03-19,17922.0,Health Care
297,2021-03-20,17922.0,Health Care
298,2021-03-21,17922.0,Health Care
299,2021-03-22,17922.0,Health Care
300,2021-03-23,15606.0,Health Care
301,2021-03-24,15606.0,Health Care
302,2021-03-25,15606.0,Health Care
303,2021-03-26,15606.0,Health Care
304,2021-03-27,15606.0,Health Care
305,2021-03-28,15606.0,Health Care
306,2021-03-29,13171.0,Health Care
307,2021-03-30,13171.0,Health Care
308,2021-03-31,13171.0,Health Care
309,2021-04-01,13160.0,Health Care
310,2021-04-02,13160.0,Health Care
311,2021-04-03,13160.0,Health Care
312,2021-04-04,13951.0,Health Care
313,2021-04-05,13951.0,Health Care
314,2021-04-06,13951.0,Health Care
315,2021-04-07,14167.0,Health Care
316,2021-04-08,14167.0,Health Care
317,2021-04-09,14167.0,Health Care
318,2021-04-10,11009.0,Health Care
319,2021-04-11,11009.0,Health Care
320,2021-04-12,13943.0,Health Care
321,2021-04-13,13943.0,Health Care
322,2021-04-14,13943.0,Health Care
323,2021-04-15,14576.0,Health Care
324,2021-04-16,14576.0,Health Care
325,2021-04-17,14576.0,Health Care
326,2021-04-18,17831.0,Health Care
327,2021-04-19,17766.0,Health Care
328,2021-04-20,14822.0,Health Care
329,2021-04-21,14822.0,Health Care
330,2021-04-22,14822.0,Health Care
331,2021-04-23,17894.0,Health Care
332,2021-04-24,17894.0,Health Care
333,2021-04-25,17894.0,Health Care
334,2021-04-26,24375.0,Health Care
335,2021-04-27,24375.0,Health Care
336,2021-04-28,24375.0,Health Care
337,2021-04-29,18977.0,Health Care
338,2021-04-30,18977.0,Health Care
339,2021-05-01,18977.0,Health Care
340,2021-05-02,18977.0,Health Care
341,2021-05-03,21421.0,Health Care
342,2021-05-04,21421.0,Health Care
343,2021-05-05,21421.0,Health Care
344,2021-05-06,17638.0,Health Care
345,2021-05-07,17638.0,Health Care
346,2021-05-08,17638.0,Health Care
347,2021-05-09,7273.0,Health Care
348,2021-05-10,10774.0,Health Care
349,2021-05-11,10774.0,Health Care
350,2021-05-12,10774.0,Health Care
351,2021-05-13,10774.0,Health Care
352,2021-05-14,23304.0,Health Care
353,2021-05-15,23304.0,Health Care
354,2021-05-16,23304.0,Health Care
355,2021-05-17,19358.0,Health Care
356,2021-05-18,19358.0,Health Care
357,2021-05-19,19358.0,Health Care
358,2021-05-20,14624.0,Health Care
359,2021-05-21,20731.0,Health Care
360,2021-05-22,20731.0,Health Care
361,2021-05-23,20731.0,Health Care
362,2021-05-24,15784.0,Health Care
363,2021-05-25,15784.0,Health Care
364,2021-05-26,15784.0,Health Care
365,2021-05-27,21089.0,Health Care
366,2021-05-28,21089.0,Health Care
367,2021-05-29,21089.0,Health Care
368,2021-05-30,21089.0,Health Care
369,2021-05-31,22853.0,Health Care
370,2021-06-01,22853.0,Health Care
371,2021-06-02,23987.0,Health Care
372,2021-06-03,23987.0,Health Care
373,2021-06-04,23987.0,Health Care
374,2021-06-05,21943.0,Health Care
375,2021-06-06,21943.0,Health Care
376,2021-06-07,21943.0,Health Care
377,2021-06-08,21943.0,Health Care
378,2021-06-09,24455.0,Health Care
379,2021-06-10,24455.0,Health Care
380,2021-06-11,24455.0,Health Care
381,2021-06-12,24455.0,Health Care
382,2021-06-13,24455.0,Health Care
383,2021-06-14,17104.0,Health Care
384,2021-06-15,18483.0,Health Care
385,2021-06-16,18483.0,Health Care
386,2021-06-17,16686.0,Health Care
387,2021-06-18,14267.0,Health Care
388,2021-06-19,14267.0,Health Care
389,2021-06-20,14267.0,Health Care
390,2021-06-21,14214.0,Health Care
391,2021-06-22,13689.0,Health Care
392,2021-06-23,13689.0,Health Care
393,2021-06-24,13689.0,Health Care
394,2021-06-25,13689.0,Health Care
395,2021-06-26,20654.0,Health Care
396,2021-06-27,20654.0,Health Care
397,2021-06-28,23547.0,Health Care
398,2021-06-29,23547.0,Health Care
399,2021-06-30,22780.0,Health Care
400,2021-07-01,22780.0,Health Care
401,2021-07-02,22780.0,Health Care
402,2021-07-03,28123.0,Health Care
403,2021-07-04,28123.0,Health Care
404,2021-07-05,26637.0,Health Care
405,2021-07-06,26637.0,Health Care
406,2021-07-07,26637.0,Health Care
407,2021-07-08,26637.0,Health Care
408,2021-07-09,25977.0,Health Care
409,2021-07-10,30232.0,Health Care
