,date,value,name_B07MP1CZ8B
62,2020-11-22,48225.0,Health Care
63,2020-11-23,48225.0,Health Care
64,2020-11-24,48225.0,Health Care
65,2020-11-25,48225.0,Health Care
66,2020-11-26,48225.0,Health Care
67,2020-11-27,48225.0,Health Care
68,2020-11-28,48225.0,Health Care
69,2020-11-29,48225.0,Health Care
70,2020-11-30,48225.0,Health Care
71,2020-12-01,48225.0,Health Care
72,2020-12-02,48225.0,Health Care
73,2020-12-03,48225.0,Health Care
74,2020-12-04,48225.0,Health Care
75,2020-12-05,48225.0,Health Care
76,2020-12-06,48225.0,Health Care
77,2020-12-07,48225.0,Health Care
78,2020-12-08,48225.0,Health Care
79,2020-12-09,48225.0,Health Care
80,2020-12-10,56428.0,Health Care
81,2020-12-11,56428.0,Health Care
82,2020-12-12,56428.0,Health Care
83,2020-12-13,56428.0,Health Care
84,2020-12-14,56428.0,Health Care
85,2020-12-15,56428.0,Health Care
86,2020-12-16,56428.0,Health Care
87,2020-12-17,56428.0,Health Care
88,2020-12-18,56428.0,Health Care
89,2020-12-19,61231.0,Health Care
90,2020-12-20,69220.0,Health Care
91,2020-12-21,69220.0,Health Care
92,2020-12-22,69220.0,Health Care
93,2020-12-23,63586.0,Health Care
94,2020-12-24,63586.0,Health Care
95,2020-12-25,63586.0,Health Care
96,2020-12-26,63586.0,Health Care
97,2020-12-27,52660.0,Health Care
98,2020-12-28,52660.0,Health Care
99,2020-12-29,52660.0,Health Care
100,2020-12-30,52660.0,Health Care
101,2020-12-31,52660.0,Health Care
102,2021-01-01,52660.0,Health Care
103,2021-01-02,52660.0,Health Care
104,2021-01-03,72294.0,Health Care
105,2021-01-04,72294.0,Health Care
106,2021-01-05,72294.0,Health Care
107,2021-01-06,72294.0,Health Care
108,2021-01-07,35121.0,Health Care
109,2021-01-08,35121.0,Health Care
110,2021-01-09,35121.0,Health Care
111,2021-01-10,35121.0,Health Care
112,2021-01-11,35121.0,Health Care
113,2021-01-12,35121.0,Health Care
114,2021-01-13,35121.0,Health Care
115,2021-01-14,35121.0,Health Care
116,2021-01-15,35121.0,Health Care
117,2021-01-16,35121.0,Health Care
118,2021-01-17,35121.0,Health Care
119,2021-01-18,35121.0,Health Care
120,2021-01-19,35121.0,Health Care
121,2021-01-20,35121.0,Health Care
122,2021-01-21,62976.0,Health Care
123,2021-01-22,62976.0,Health Care
124,2021-01-23,62976.0,Health Care
125,2021-01-24,62976.0,Health Care
126,2021-01-25,62976.0,Health Care
127,2021-01-26,40900.0,Health Care
128,2021-01-27,40900.0,Health Care
129,2021-01-28,40900.0,Health Care
130,2021-01-29,40900.0,Health Care
131,2021-01-30,40900.0,Health Care
132,2021-01-31,40900.0,Health Care
133,2021-02-01,38353.0,Health Care
134,2021-02-02,42989.0,Health Care
135,2021-02-03,42989.0,Health Care
136,2021-02-04,42989.0,Health Care
137,2021-02-05,42989.0,Health Care
138,2021-02-06,42989.0,Health Care
139,2021-02-07,42989.0,Health Care
140,2021-02-08,42989.0,Health Care
141,2021-02-09,42989.0,Health Care
142,2021-02-10,42989.0,Health Care
143,2021-02-11,53071.0,Health Care
144,2021-02-12,53071.0,Health Care
145,2021-02-13,53071.0,Health Care
146,2021-02-14,53071.0,Health Care
147,2021-02-15,53071.0,Health Care
148,2021-02-16,53071.0,Health Care
149,2021-02-17,53071.0,Health Care
150,2021-02-18,53071.0,Health Care
151,2021-02-19,53071.0,Health Care
152,2021-02-20,53071.0,Health Care
153,2021-02-21,69622.0,Health Care
154,2021-02-22,69622.0,Health Care
155,2021-02-23,69622.0,Health Care
156,2021-02-24,69622.0,Health Care
157,2021-02-25,69622.0,Health Care
158,2021-02-26,69622.0,Health Care
159,2021-02-27,69622.0,Health Care
160,2021-02-28,69622.0,Health Care
161,2021-03-01,69622.0,Health Care
162,2021-03-02,49326.0,Health Care
163,2021-03-03,49326.0,Health Care
164,2021-03-04,51580.0,Health Care
165,2021-03-05,51580.0,Health Care
166,2021-03-06,51580.0,Health Care
167,2021-03-07,51580.0,Health Care
168,2021-03-08,62648.0,Health Care
169,2021-03-09,62648.0,Health Care
170,2021-03-10,62648.0,Health Care
171,2021-03-11,62648.0,Health Care
172,2021-03-12,62648.0,Health Care
173,2021-03-13,62648.0,Health Care
174,2021-03-14,62648.0,Health Care
175,2021-03-15,62648.0,Health Care
176,2021-03-16,62648.0,Health Care
177,2021-03-17,43454.0,Health Care
178,2021-03-18,43454.0,Health Care
179,2021-03-19,43454.0,Health Care
180,2021-03-20,43454.0,Health Care
181,2021-03-21,43454.0,Health Care
182,2021-03-22,39937.0,Health Care
183,2021-03-23,39937.0,Health Care
184,2021-03-24,39937.0,Health Care
185,2021-03-25,50041.0,Health Care
186,2021-03-26,50041.0,Health Care
187,2021-03-27,50041.0,Health Care
188,2021-03-28,50041.0,Health Care
189,2021-03-29,50041.0,Health Care
190,2021-03-30,50041.0,Health Care
191,2021-03-31,50041.0,Health Care
192,2021-04-01,50041.0,Health Care
193,2021-04-02,46843.0,Health Care
194,2021-04-03,46843.0,Health Care
195,2021-04-04,48581.0,Health Care
196,2021-04-05,48581.0,Health Care
197,2021-04-06,48581.0,Health Care
198,2021-04-07,48581.0,Health Care
199,2021-04-08,48581.0,Health Care
200,2021-04-09,48581.0,Health Care
201,2021-04-10,48581.0,Health Care
202,2021-04-11,48581.0,Health Care
203,2021-04-12,48581.0,Health Care
204,2021-04-13,48581.0,Health Care
205,2021-04-14,44726.0,Health Care
206,2021-04-15,44726.0,Health Care
207,2021-04-16,44726.0,Health Care
208,2021-04-17,44726.0,Health Care
209,2021-04-18,44726.0,Health Care
210,2021-04-19,36529.0,Health Care
211,2021-04-20,36529.0,Health Care
212,2021-04-21,38427.0,Health Care
213,2021-04-22,38427.0,Health Care
214,2021-04-23,42726.0,Health Care
215,2021-04-24,42726.0,Health Care
216,2021-04-25,42726.0,Health Care
217,2021-04-26,42726.0,Health Care
218,2021-04-27,42726.0,Health Care
219,2021-04-28,42726.0,Health Care
220,2021-04-29,42726.0,Health Care
221,2021-04-30,37605.0,Health Care
222,2021-05-01,37605.0,Health Care
223,2021-05-02,37605.0,Health Care
224,2021-05-03,37605.0,Health Care
225,2021-05-04,43560.0,Health Care
226,2021-05-05,42031.0,Health Care
227,2021-05-06,42031.0,Health Care
228,2021-05-07,42031.0,Health Care
229,2021-05-08,59114.0,Health Care
230,2021-05-09,59114.0,Health Care
231,2021-05-10,59114.0,Health Care
232,2021-05-11,59203.0,Health Care
233,2021-05-12,59203.0,Health Care
234,2021-05-13,59203.0,Health Care
235,2021-05-14,59203.0,Health Care
236,2021-05-15,53619.0,Health Care
237,2021-05-16,53619.0,Health Care
238,2021-05-17,53619.0,Health Care
239,2021-05-18,52144.0,Health Care
240,2021-05-19,52144.0,Health Care
241,2021-05-20,48258.0,Health Care
242,2021-05-21,51238.0,Health Care
243,2021-05-22,51238.0,Health Care
244,2021-05-23,66779.0,Health Care
245,2021-05-24,66779.0,Health Care
246,2021-05-25,66779.0,Health Care
247,2021-05-26,66779.0,Health Care
248,2021-05-27,66779.0,Health Care
249,2021-05-28,53061.0,Health Care
250,2021-05-29,53061.0,Health Care
251,2021-05-30,53061.0,Health Care
252,2021-05-31,61686.0,Health Care
253,2021-06-01,61686.0,Health Care
254,2021-06-02,48932.0,Health Care
255,2021-06-03,48932.0,Health Care
256,2021-06-04,61983.0,Health Care
257,2021-06-05,61983.0,Health Care
258,2021-06-06,61983.0,Health Care
259,2021-06-07,59358.0,Health Care
260,2021-06-08,59358.0,Health Care
261,2021-06-09,59358.0,Health Care
262,2021-06-10,59358.0,Health Care
263,2021-06-11,59358.0,Health Care
264,2021-06-12,59358.0,Health Care
265,2021-06-13,59358.0,Health Care
266,2021-06-14,59358.0,Health Care
267,2021-06-15,69514.0,Health Care
268,2021-06-16,69514.0,Health Care
269,2021-06-17,69514.0,Health Care
270,2021-06-18,69514.0,Health Care
271,2021-06-19,69514.0,Health Care
272,2021-06-20,57493.0,Health Care
273,2021-06-21,55330.0,Health Care
274,2021-06-22,55330.0,Health Care
275,2021-06-23,69164.0,Health Care
276,2021-06-24,69164.0,Health Care
277,2021-06-25,69164.0,Health Care
278,2021-06-26,43565.0,Health Care
279,2021-06-27,43565.0,Health Care
280,2021-06-28,46156.0,Health Care
281,2021-06-29,46156.0,Health Care
282,2021-06-30,46156.0,Health Care
283,2021-07-01,49849.0,Health Care
284,2021-07-02,49849.0,Health Care
285,2021-07-03,49849.0,Health Care
286,2021-07-04,49849.0,Health Care
287,2021-07-05,49849.0,Health Care
288,2021-07-06,49849.0,Health Care
289,2021-07-07,49849.0,Health Care
290,2021-07-08,49849.0,Health Care
291,2021-07-09,58048.0,Health Care
292,2021-07-10,77266.0,Health Care
293,2021-07-11,64327.0,Health Care
