,date,value,name_B08TY8J2DH
56,2021-04-03,61691.0,Smokeless Inhalers
57,2021-04-04,61691.0,Smokeless Inhalers
58,2021-04-05,125796.0,Smokeless Inhalers
59,2021-04-06,125796.0,Smokeless Inhalers
60,2021-04-07,178040.0,Smokeless Inhalers
61,2021-04-08,178040.0,Smokeless Inhalers
62,2021-04-09,178040.0,Smokeless Inhalers
63,2021-04-10,215284.0,Smokeless Inhalers
64,2021-04-11,215284.0,Smokeless Inhalers
65,2021-04-12,215284.0,Smokeless Inhalers
66,2021-04-13,215284.0,Smokeless Inhalers
67,2021-04-14,215284.0,Smokeless Inhalers
68,2021-04-15,215284.0,Smokeless Inhalers
69,2021-04-16,215284.0,Smokeless Inhalers
70,2021-04-17,215284.0,Smokeless Inhalers
71,2021-04-18,215284.0,Smokeless Inhalers
72,2021-04-19,215284.0,Smokeless Inhalers
73,2021-04-20,215284.0,Smokeless Inhalers
74,2021-04-21,88271.0,Smokeless Inhalers
75,2021-04-22,79871.0,Smokeless Inhalers
76,2021-04-23,124263.0,Smokeless Inhalers
77,2021-04-24,124263.0,Smokeless Inhalers
78,2021-04-25,124263.0,Smokeless Inhalers
79,2021-04-26,124263.0,Smokeless Inhalers
80,2021-04-27,124263.0,Smokeless Inhalers
81,2021-04-28,124263.0,Smokeless Inhalers
82,2021-04-29,124263.0,Smokeless Inhalers
83,2021-04-30,124263.0,Smokeless Inhalers
84,2021-05-01,124263.0,Smokeless Inhalers
85,2021-05-02,124263.0,Smokeless Inhalers
86,2021-05-03,124263.0,Smokeless Inhalers
87,2021-05-04,124263.0,Smokeless Inhalers
88,2021-05-05,124263.0,Smokeless Inhalers
89,2021-05-06,124263.0,Smokeless Inhalers
90,2021-05-07,124263.0,Smokeless Inhalers
91,2021-05-08,124263.0,Smokeless Inhalers
92,2021-05-09,124263.0,Smokeless Inhalers
93,2021-05-10,124263.0,Smokeless Inhalers
94,2021-05-11,124263.0,Smokeless Inhalers
95,2021-05-12,124263.0,Smokeless Inhalers
96,2021-05-13,124263.0,Smokeless Inhalers
97,2021-05-14,124263.0,Smokeless Inhalers
98,2021-05-15,112928.0,Smokeless Inhalers
99,2021-05-16,112928.0,Smokeless Inhalers
100,2021-05-17,112928.0,Smokeless Inhalers
101,2021-05-18,41737.0,Smokeless Inhalers
102,2021-05-19,54346.0,Smokeless Inhalers
103,2021-05-20,54346.0,Smokeless Inhalers
104,2021-05-21,46654.0,Smokeless Inhalers
105,2021-05-22,46654.0,Smokeless Inhalers
106,2021-05-23,46654.0,Smokeless Inhalers
107,2021-05-24,46654.0,Smokeless Inhalers
108,2021-05-25,58417.0,Smokeless Inhalers
109,2021-05-26,58417.0,Smokeless Inhalers
110,2021-05-27,58417.0,Smokeless Inhalers
111,2021-05-28,58417.0,Smokeless Inhalers
112,2021-05-29,58417.0,Smokeless Inhalers
113,2021-05-30,58417.0,Smokeless Inhalers
114,2021-05-31,58417.0,Smokeless Inhalers
115,2021-06-01,26677.0,Smokeless Inhalers
116,2021-06-02,26677.0,Smokeless Inhalers
117,2021-06-03,26677.0,Smokeless Inhalers
118,2021-06-04,26677.0,Smokeless Inhalers
119,2021-06-05,26677.0,Smokeless Inhalers
120,2021-06-06,26677.0,Smokeless Inhalers
121,2021-06-07,23641.0,Smokeless Inhalers
122,2021-06-08,23641.0,Smokeless Inhalers
123,2021-06-09,23641.0,Smokeless Inhalers
124,2021-06-10,23641.0,Smokeless Inhalers
125,2021-06-11,23641.0,Smokeless Inhalers
126,2021-06-12,23641.0,Smokeless Inhalers
127,2021-06-13,23641.0,Smokeless Inhalers
128,2021-06-14,23641.0,Smokeless Inhalers
129,2021-06-15,17556.0,Smokeless Inhalers
130,2021-06-16,17556.0,Smokeless Inhalers
131,2021-06-17,21547.0,Smokeless Inhalers
132,2021-06-18,22241.0,Smokeless Inhalers
133,2021-06-19,22241.0,Smokeless Inhalers
134,2021-06-20,22241.0,Smokeless Inhalers
135,2021-06-21,25329.0,Smokeless Inhalers
136,2021-06-22,25329.0,Smokeless Inhalers
137,2021-06-23,25329.0,Smokeless Inhalers
138,2021-06-24,25670.0,Smokeless Inhalers
139,2021-06-25,25670.0,Smokeless Inhalers
140,2021-06-26,25670.0,Smokeless Inhalers
141,2021-06-27,25670.0,Smokeless Inhalers
142,2021-06-28,25670.0,Smokeless Inhalers
143,2021-06-29,29363.0,Smokeless Inhalers
144,2021-06-30,29363.0,Smokeless Inhalers
145,2021-07-01,29363.0,Smokeless Inhalers
146,2021-07-02,29363.0,Smokeless Inhalers
147,2021-07-03,28558.0,Smokeless Inhalers
148,2021-07-04,28558.0,Smokeless Inhalers
149,2021-07-05,30611.0,Smokeless Inhalers
150,2021-07-06,30611.0,Smokeless Inhalers
151,2021-07-07,30611.0,Smokeless Inhalers
152,2021-07-08,30611.0,Smokeless Inhalers
153,2021-07-09,33592.0,Smokeless Inhalers
